Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
50	-18	18	2597	50	-18	18	2597	50	-18	18	2597	50	-18	18	2597	50	-18	18	2597	50	-18	18	2597	50	-18	18	2597	50	-18	18	2597	50	-18	18	2597	50	-18	18	2597	50	-18	18	2597	50	-18	18	2597	50	-18	18	2597	50	-18	18	2597	50	-18	18	2597	50	-18	18	2597	50	-18	18	2597	50	-18	18	2597	50	-18	18	2597	50	-18	18	2597	50	-18	18	2597	50	-18	18	2597	50	-18	18	2597	50	-18	18	2597	50	-18	18	2597
51	-17	17	2614	51	-17	17	2614	51	-17	17	2614	51	-17	17	2614	51	-17	17	2614	51	-17	17	2614	51	-17	17	2614	51	-17	17	2614	51	-17	17	2614	51	-17	17	2614	51	-17	17	2614	51	-17	17	2614	51	-17	17	2614	51	-17	17	2614	51	-17	17	2614	51	-17	17	2614	51	-17	17	2614	51	-17	17	2614	51	-17	17	2614	51	-17	17	2614	51	-17	17	2614	51	-17	17	2614	51	-17	17	2614	51	-17	17	2614	51	-17	17	2614
52	-19	19	2633	52	-19	19	2633	52	-19	19	2633	52	-19	19	2633	52	-19	19	2633	52	-19	19	2633	52	-19	19	2633	52	-19	19	2633	52	-19	19	2633	52	-19	19	2633	52	-19	19	2633	52	-19	19	2633	52	-19	19	2633	52	-19	19	2633	52	-19	19	2633	52	-19	19	2633	52	-19	19	2633	52	-19	19	2633	52	-19	19	2633	52	-19	19	2633	52	-19	19	2633	52	-19	19	2633	52	-19	19	2633	52	-19	19	2633	52	-19	19	2633
53	-22	22	2655	53	-22	22	2655	53	-22	22	2655	53	-22	22	2655	53	-22	22	2655	53	-22	22	2655	53	-22	22	2655	53	-22	22	2655	53	-22	22	2655	53	-22	22	2655	53	-22	22	2655	53	-22	22	2655	53	-22	22	2655	53	-22	22	2655	53	-22	22	2655	53	-22	22	2655	53	-22	22	2655	53	-22	22	2655	53	-22	22	2655	53	-22	22	2655	53	-22	22	2655	53	-22	22	2655	53	-22	22	2655	53	-22	22	2655	53	-22	22	2655
54	-116	17	2672	54	-116	17	2672	54	-116	17	2672	54	-116	17	2672	54	-116	17	2672	54	-116	17	2672	54	-116	17	2672	54	-116	17	2672	54	-116	17	2672	54	-116	17	2672	54	-116	17	2672	54	-116	17	2672	54	-116	17	2672	54	-116	17	2672	54	-116	17	2672	54	-116	17	2672	54	-116	17	2672	54	-116	17	2672	54	-116	17	2672	54	-116	17	2672	54	-116	17	2672	54	-116	17	2672	54	-116	17	2672	54	-116	17	2672	54	-116	17	2672
55	-13	13	2685	55	-13	13	2685	55	-13	13	2685	55	-13	13	2685	55	-13	13	2685	55	-13	13	2685	55	-13	13	2685	55	-13	13	2685	55	-13	13	2685	55	-13	13	2685	55	-13	13	2685	55	-13	13	2685	55	-13	13	2685	55	-13	13	2685	55	-13	13	2685	55	-13	13	2685	55	-13	13	2685	55	-13	13	2685	55	-13	13	2685	55	-13	13	2685	55	-13	13	2685	55	-13	13	2685	55	-13	13	2685	55	-13	13	2685	55	-13	13	2685
56	-13	13	2698	56	-13	13	2698	56	-13	13	2698	56	-13	13	2698	56	-13	13	2698	56	-13	13	2698	56	-13	13	2698	56	-13	13	2698	56	-13	13	2698	56	-13	13	2698	56	-13	13	2698	56	-13	13	2698	56	-13	13	2698	56	-13	13	2698	56	-13	13	2698	56	-13	13	2698	56	-13	13	2698	56	-13	13	2698	56	-13	13	2698	56	-13	13	2698	56	-13	13	2698	56	-13	13	2698	56	-13	13	2698	56	-13	13	2698	56	-13	13	2698
57	-14	14	2712	57	-14	14	2712	57	-14	14	2712	57	-14	14	2712	57	-14	14	2712	57	-14	14	2712	57	-14	14	2712	57	-14	14	2712	57	-14	14	2712	57	-14	14	2712	57	-14	14	2712	57	-14	14	2712	57	-14	14	2712	57	-14	14	2712	57	-14	14	2712	57	-14	14	2712	57	-14	14	2712	57	-14	14	2712	57	-14	14	2712	57	-14	14	2712	57	-14	14	2712	57	-14	14	2712	57	-14	14	2712	57	-14	14	2712	57	-14	14	2712
58	-24	24	2736	58	-24	24	2736	58	-24	24	2736	58	-24	24	2736	58	-24	24	2736	58	-24	24	2736	58	-24	24	2736	58	-24	24	2736	58	-24	24	2736	58	-24	24	2736	58	-24	24	2736	58	-24	24	2736	58	-24	24	2736	58	-24	24	2736	58	-24	24	2736	58	-24	24	2736	58	-24	24	2736	58	-24	24	2736	58	-24	24	2736	58	-24	24	2736	58	-24	24	2736	58	-24	24	2736	58	-24	24	2736	58	-24	24	2736	58	-24	24	2736
59	-21	21	2757	59	-21	21	2757	59	-21	21	2757	59	-21	21	2757	59	-21	21	2757	59	-21	21	2757	59	-21	21	2757	59	-21	21	2757	59	-21	21	2757	59	-21	21	2757	59	-21	21	2757	59	-21	21	2757	59	-21	21	2757	59	-21	21	2757	59	-21	21	2757	59	-21	21	2757	59	-21	21	2757	59	-21	21	2757	59	-21	21	2757	59	-21	21	2757	59	-21	21	2757	59	-21	21	2757	59	-21	21	2757	59	-21	21	2757	59	-21	21	2757
60	-13	13	2770	60	-13	13	2770	60	-13	13	2770	60	-13	13	2770	60	-13	13	2770	60	-13	13	2770	60	-13	13	2770	60	-13	13	2770	60	-13	13	2770	60	-13	13	2770	60	-13	13	2770	60	-13	13	2770	60	-13	13	2770	60	-13	13	2770	60	-13	13	2770	60	-13	13	2770	60	-13	13	2770	60	-13	13	2770	60	-13	13	2770	60	-13	13	2770	60	-13	13	2770	60	-13	13	2770	60	-13	13	2770	60	-13	13	2770	60	-13	13	2770
61	-16	16	2786	61	-16	16	2786	61	-16	16	2786	61	-16	16	2786	61	-16	16	2786	61	-16	16	2786	61	-16	16	2786	61	-16	16	2786	61	-16	16	2786	61	-16	16	2786	61	-16	16	2786	61	-16	16	2786	61	-16	16	2786	61	-16	16	2786	61	-16	16	2786	61	-16	16	2786	61	-16	16	2786	61	-16	16	2786	61	-16	16	2786	61	-16	16	2786	61	-16	16	2786	61	-16	16	2786	61	-16	16	2786	61	-16	16	2786	61	-16	16	2786
62	-15	15	2801	62	-15	15	2801	62	-15	15	2801	62	-15	15	2801	62	-15	15	2801	62	-15	15	2801	62	-15	15	2801	62	-15	15	2801	62	-15	15	2801	62	-15	15	2801	62	-15	15	2801	62	-15	15	2801	62	-15	15	2801	62	-15	15	2801	62	-15	15	2801	62	-15	15	2801	62	-15	15	2801	62	-15	15	2801	62	-15	15	2801	62	-15	15	2801	62	-15	15	2801	62	-15	15	2801	62	-15	15	2801	62	-15	15	2801	62	-15	15	2801
63	-13	13	2814	63	-13	13	2814	63	-13	13	2814	63	-13	13	2814	63	-13	13	2814	63	-13	13	2814	63	-13	13	2814	63	-13	13	2814	63	-13	13	2814	63	-13	13	2814	63	-13	13	2814	63	-13	13	2814	63	-13	13	2814	63	-13	13	2814	63	-13	13	2814	63	-13	13	2814	63	-13	13	2814	63	-13	13	2814	63	-13	13	2814	63	-13	13	2814	63	-13	13	2814	63	-13	13	2814	63	-13	13	2814	63	-13	13	2814	63	-13	13	2814
64	-13	13	2827	64	-13	13	2827	64	-13	13	2827	64	-13	13	2827	64	-13	13	2827	64	-13	13	2827	64	-13	13	2827	64	-13	13	2827	64	-13	13	2827	64	-13	13	2827	64	-13	13	2827	64	-13	13	2827	64	-13	13	2827	64	-13	13	2827	64	-13	13	2827	64	-13	13	2827	64	-13	13	2827	64	-13	13	2827	64	-13	13	2827	64	-13	13	2827	64	-13	13	2827	64	-13	13	2827	64	-13	13	2827	64	-13	13	2827	64	-13	13	2827
65	-13	13	2840	65	-13	13	2840	65	-13	13	2840	65	-13	13	2840	65	-13	13	2840	65	-13	13	2840	65	-13	13	2840	65	-13	13	2840	65	-13	13	2840	65	-13	13	2840	65	-13	13	2840	65	-13	13	2840	65	-13	13	2840	65	-13	13	2840	65	-13	13	2840	65	-13	13	2840	65	-13	13	2840	65	-13	13	2840	65	-13	13	2840	65	-13	13	2840	65	-13	13	2840	65	-13	13	2840	65	-13	13	2840	65	-13	13	2840	65	-13	13	2840
66	-22	22	2862	66	-22	22	2862	66	-22	22	2862	66	-22	22	2862	66	-22	22	2862	66	-22	22	2862	66	-22	22	2862	66	-22	22	2862	66	-22	22	2862	66	-22	22	2862	66	-22	22	2862	66	-22	22	2862	66	-22	22	2862	66	-22	22	2862	66	-22	22	2862	66	-22	22	2862	66	-22	22	2862	66	-22	22	2862	66	-22	22	2862	66	-22	22	2862	66	-22	22	2862	66	-22	22	2862	66	-22	22	2862	66	-22	22	2862	66	-22	22	2862
67	-228	30	2892	67	-228	30	2892	67	-228	30	2892	67	-228	30	2892	67	-228	30	2892	67	-228	30	2892	67	-228	30	2892	67	-228	30	2892	67	-228	30	2892	67	-228	30	2892	67	-228	30	2892	67	-228	30	2892	67	-228	30	2892	67	-228	30	2892	67	-228	30	2892	67	-228	30	2892	67	-228	30	2892	67	-228	30	2892	67	-228	30	2892	67	-228	30	2892	67	-228	30	2892	67	-228	30	2892	67	-228	30	2892	67	-228	30	2892	67	-228	30	2892
68	-13	13	2905	68	-13	13	2905	68	-13	13	2905	68	-13	13	2905	68	-13	13	2905	68	-13	13	2905	68	-13	13	2905	68	-13	13	2905	68	-13	13	2905	68	-13	13	2905	68	-13	13	2905	68	-13	13	2905	68	-13	13	2905	68	-13	13	2905	68	-13	13	2905	68	-13	13	2905	68	-13	13	2905	68	-13	13	2905	68	-13	13	2905	68	-13	13	2905	68	-13	13	2905	68	-13	13	2905	68	-13	13	2905	68	-13	13	2905	68	-13	13	2905
69	-19	19	2924	69	-19	19	2924	69	-19	19	2924	69	-19	19	2924	69	-19	19	2924	69	-19	19	2924	69	-19	19	2924	69	-19	19	2924	69	-19	19	2924	69	-19	19	2924	69	-19	19	2924	69	-19	19	2924	69	-19	19	2924	69	-19	19	2924	69	-19	19	2924	69	-19	19	2924	69	-19	19	2924	69	-19	19	2924	69	-19	19	2924	69	-19	19	2924	69	-19	19	2924	69	-19	19	2924	69	-19	19	2924	69	-19	19	2924	69	-19	19	2924
70	-243	45	2969	70	-243	45	2969	70	-243	45	2969	70	-243	45	2969	70	-243	45	2969	70	-243	45	2969	70	-243	45	2969	70	-243	45	2969	70	-243	45	2969	70	-243	45	2969	70	-243	45	2969	70	-243	45	2969	70	-243	45	2969	70	-243	45	2969	70	-243	45	2969	70	-243	45	2969	70	-243	45	2969	70	-243	45	2969	70	-243	45	2969	70	-243	45	2969	70	-243	45	2969	70	-243	45	2969	70	-243	45	2969	70	-243	45	2969	70	-243	45	2969
71	-327	30	2999	71	-327	30	2999	71	-327	30	2999	71	-327	30	2999	71	-327	30	2999	71	-327	30	2999	71	-327	30	2999	71	-327	30	2999	71	-327	30	2999	71	-327	30	2999	71	-327	30	2999	71	-327	30	2999	71	-327	30	2999	71	-327	30	2999	71	-327	30	2999	71	-327	30	2999	71	-327	30	2999	71	-327	30	2999	71	-327	30	2999	71	-327	30	2999	71	-327	30	2999	71	-327	30	2999	71	-327	30	2999	71	-327	30	2999	71	-327	30	2999
72	-15	15	3014	72	-15	15	3014	72	-15	15	3014	72	-15	15	3014	72	-15	15	3014	72	-15	15	3014	72	-15	15	3014	72	-15	15	3014	72	-15	15	3014	72	-15	15	3014	72	-15	15	3014	72	-15	15	3014	72	-15	15	3014	72	-15	15	3014	72	-15	15	3014	72	-15	15	3014	72	-15	15	3014	72	-15	15	3014	72	-15	15	3014	72	-15	15	3014	72	-15	15	3014	72	-15	15	3014	72	-15	15	3014	72	-15	15	3014	72	-15	15	3014
73	-13	13	3027	73	-13	13	3027	73	-13	13	3027	73	-13	13	3027	73	-13	13	3027	73	-13	13	3027	73	-13	13	3027	73	-13	13	3027	73	-13	13	3027	73	-13	13	3027	73	-13	13	3027	73	-13	13	3027	73	-13	13	3027	73	-13	13	3027	73	-13	13	3027	73	-13	13	3027	73	-13	13	3027	73	-13	13	3027	73	-13	13	3027	73	-13	13	3027	73	-13	13	3027	73	-13	13	3027	73	-13	13	3027	73	-13	13	3027	73	-13	13	3027
74	-14	14	3041	74	-14	14	3041	74	-14	14	3041	74	-14	14	3041	74	-14	14	3041	74	-14	14	3041	74	-14	14	3041	74	-14	14	3041	74	-14	14	3041	74	-14	14	3041	74	-14	14	3041	74	-14	14	3041	74	-14	14	3041	74	-14	14	3041	74	-14	14	3041	74	-14	14	3041	74	-14	14	3041	74	-14	14	3041	74	-14	14	3041	74	-14	14	3041	74	-14	14	3041	74	-14	14	3041	74	-14	14	3041	74	-14	14	3041	74	-14	14	3041
75	-21	21	3062	75	-21	21	3062	75	-21	21	3062	75	-21	21	3062	75	-21	21	3062	75	-21	21	3062	75	-21	21	3062	75	-21	21	3062	75	-21	21	3062	75	-21	21	3062	75	-21	21	3062	75	-21	21	3062	75	-21	21	3062	75	-21	21	3062	75	-21	21	3062	75	-21	21	3062	75	-21	21	3062	75	-21	21	3062	75	-21	21	3062	75	-21	21	3062	75	-21	21	3062	75	-21	21	3062	75	-21	21	3062	75	-21	21	3062	75	-21	21	3062
76	-13	13	3075	76	-13	13	3075	76	-13	13	3075	76	-13	13	3075	76	-13	13	3075	76	-13	13	3075	76	-13	13	3075	76	-13	13	3075	76	-13	13	3075	76	-13	13	3075	76	-13	13	3075	76	-13	13	3075	76	-13	13	3075	76	-13	13	3075	76	-13	13	3075	76	-13	13	3075	76	-13	13	3075	76	-13	13	3075	76	-13	13	3075	76	-13	13	3075	76	-13	13	3075	76	-13	13	3075	76	-13	13	3075	76	-13	13	3075	76	-13	13	3075
77	-13	13	3088	77	-13	13	3088	77	-13	13	3088	77	-13	13	3088	77	-13	13	3088	77	-13	13	3088	77	-13	13	3088	77	-13	13	3088	77	-13	13	3088	77	-13	13	3088	77	-13	13	3088	77	-13	13	3088	77	-13	13	3088	77	-13	13	3088	77	-13	13	3088	77	-13	13	3088	77	-13	13	3088	77	-13	13	3088	77	-13	13	3088	77	-13	13	3088	77	-13	13	3088	77	-13	13	3088	77	-13	13	3088	77	-13	13	3088	77	-13	13	3088
78	-121	22	3110	78	-121	22	3110	78	-121	22	3110	78	-121	22	3110	78	-121	22	3110	78	-121	22	3110	78	-121	22	3110	78	-121	22	3110	78	-121	22	3110	78	-121	22	3110	78	-121	22	3110	78	-121	22	3110	78	-121	22	3110	78	-121	22	3110	78	-121	22	3110	78	-121	22	3110	78	-121	22	3110	78	-121	22	3110	78	-121	22	3110	78	-121	22	3110	78	-121	22	3110	78	-121	22	3110	78	-121	22	3110	78	-121	22	3110	78	-121	22	3110
79	-25	25	3135	79	-25	25	3135	79	-25	25	3135	79	-25	25	3135	79	-25	25	3135	79	-25	25	3135	79	-25	25	3135	79	-25	25	3135	79	-25	25	3135	79	-25	25	3135	79	-25	25	3135	79	-25	25	3135	79	-25	25	3135	79	-25	25	3135	79	-25	25	3135	79	-25	25	3135	79	-25	25	3135	79	-25	25	3135	79	-25	25	3135	79	-25	25	3135	79	-25	25	3135	79	-25	25	3135	79	-25	25	3135	79	-25	25	3135	79	-25	25	3135
80	-13	13	3148	80	-13	13	3148	80	-13	13	3148	80	-13	13	3148	80	-13	13	3148	80	-13	13	3148	80	-13	13	3148	80	-13	13	3148	80	-13	13	3148	80	-13	13	3148	80	-13	13	3148	80	-13	13	3148	80	-13	13	3148	80	-13	13	3148	80	-13	13	3148	80	-13	13	3148	80	-13	13	3148	80	-13	13	3148	80	-13	13	3148	80	-13	13	3148	80	-13	13	3148	80	-13	13	3148	80	-13	13	3148	80	-13	13	3148	80	-13	13	3148
81	-122	23	3171	81	-122	23	3171	81	-122	23	3171	81	-122	23	3171	81	-122	23	3171	81	-122	23	3171	81	-122	23	3171	81	-122	23	3171	81	-122	23	3171	81	-122	23	3171	81	-122	23	3171	81	-122	23	3171	81	-122	23	3171	81	-122	23	3171	81	-122	23	3171	81	-122	23	3171	81	-122	23	3171	81	-122	23	3171	81	-122	23	3171	81	-122	23	3171	81	-122	23	3171	81	-122	23	3171	81	-122	23	3171	81	-122	23	3171	81	-122	23	3171
82	-13	13	3184	82	-13	13	3184	82	-13	13	3184	82	-13	13	3184	82	-13	13	3184	82	-13	13	3184	82	-13	13	3184	82	-13	13	3184	82	-13	13	3184	82	-13	13	3184	82	-13	13	3184	82	-13	13	3184	82	-13	13	3184	82	-13	13	3184	82	-13	13	3184	82	-13	13	3184	82	-13	13	3184	82	-13	13	3184	82	-13	13	3184	82	-13	13	3184	82	-13	13	3184	82	-13	13	3184	82	-13	13	3184	82	-13	13	3184	82	-13	13	3184
83	-15	15	3199	83	-15	15	3199	83	-15	15	3199	83	-15	15	3199	83	-15	15	3199	83	-15	15	3199	83	-15	15	3199	83	-15	15	3199	83	-15	15	3199	83	-15	15	3199	83	-15	15	3199	83	-15	15	3199	83	-15	15	3199	83	-15	15	3199	83	-15	15	3199	83	-15	15	3199	83	-15	15	3199	83	-15	15	3199	83	-15	15	3199	83	-15	15	3199	83	-15	15	3199	83	-15	15	3199	83	-15	15	3199	83	-15	15	3199	83	-15	15	3199
84	-13	13	3212	84	-13	13	3212	84	-13	13	3212	84	-13	13	3212	84	-13	13	3212	84	-13	13	3212	84	-13	13	3212	84	-13	13	3212	84	-13	13	3212	84	-13	13	3212	84	-13	13	3212	84	-13	13	3212	84	-13	13	3212	84	-13	13	3212	84	-13	13	3212	84	-13	13	3212	84	-13	13	3212	84	-13	13	3212	84	-13	13	3212	84	-13	13	3212	84	-13	13	3212	84	-13	13	3212	84	-13	13	3212	84	-13	13	3212	84	-13	13	3212
85	-17	17	3229	85	-17	17	3229	85	-17	17	3229	85	-17	17	3229	85	-17	17	3229	85	-17	17	3229	85	-17	17	3229	85	-17	17	3229	85	-17	17	3229	85	-17	17	3229	85	-17	17	3229	85	-17	17	3229	85	-17	17	3229	85	-17	17	3229	85	-17	17	3229	85	-17	17	3229	85	-17	17	3229	85	-17	17	3229	85	-17	17	3229	85	-17	17	3229	85	-17	17	3229	85	-17	17	3229	85	-17	17	3229	85	-17	17	3229	85	-17	17	3229
86	-121	22	3251	86	-121	22	3251	86	-121	22	3251	86	-121	22	3251	86	-121	22	3251	86	-121	22	3251	86	-121	22	3251	86	-121	22	3251	86	-121	22	3251	86	-121	22	3251	86	-121	22	3251	86	-121	22	3251	86	-121	22	3251	86	-121	22	3251	86	-121	22	3251	86	-121	22	3251	86	-121	22	3251	86	-121	22	3251	86	-121	22	3251	86	-121	22	3251	86	-121	22	3251	86	-121	22	3251	86	-121	22	3251	86	-121	22	3251	86	-121	22	3251
87	-15	15	3266	87	-15	15	3266	87	-15	15	3266	87	-15	15	3266	87	-15	15	3266	87	-15	15	3266	87	-15	15	3266	87	-15	15	3266	87	-15	15	3266	87	-15	15	3266	87	-15	15	3266	87	-15	15	3266	87	-15	15	3266	87	-15	15	3266	87	-15	15	3266	87	-15	15	3266	87	-15	15	3266	87	-15	15	3266	87	-15	15	3266	87	-15	15	3266	87	-15	15	3266	87	-15	15	3266	87	-15	15	3266	87	-15	15	3266	87	-15	15	3266
88	-13	13	3279	88	-13	13	3279	88	-13	13	3279	88	-13	13	3279	88	-13	13	3279	88	-13	13	3279	88	-13	13	3279	88	-13	13	3279	88	-13	13	3279	88	-13	13	3279	88	-13	13	3279	88	-13	13	3279	88	-13	13	3279	88	-13	13	3279	88	-13	13	3279	88	-13	13	3279	88	-13	13	3279	88	-13	13	3279	88	-13	13	3279	88	-13	13	3279	88	-13	13	3279	88	-13	13	3279	88	-13	13	3279	88	-13	13	3279	88	-13	13	3279
89	-236	38	3317	89	-236	38	3317	89	-236	38	3317	89	-236	38	3317	89	-236	38	3317	89	-236	38	3317	89	-236	38	3317	89	-236	38	3317	89	-236	38	3317	89	-236	38	3317	89	-236	38	3317	89	-236	38	3317	89	-236	38	3317	89	-236	38	3317	89	-236	38	3317	89	-236	38	3317	89	-236	38	3317	89	-236	38	3317	89	-236	38	3317	89	-236	38	3317	89	-236	38	3317	89	-236	38	3317	89	-236	38	3317	89	-236	38	3317	89	-236	38	3317
90	-13	13	3330	90	-13	13	3330	90	-13	13	3330	90	-13	13	3330	90	-13	13	3330	90	-13	13	3330	90	-13	13	3330	90	-13	13	3330	90	-13	13	3330	90	-13	13	3330	90	-13	13	3330	90	-13	13	3330	90	-13	13	3330	90	-13	13	3330	90	-13	13	3330	90	-13	13	3330	90	-13	13	3330	90	-13	13	3330	90	-13	13	3330	90	-13	13	3330	90	-13	13	3330	90	-13	13	3330	90	-13	13	3330	90	-13	13	3330	90	-13	13	3330
91	-13	13	3343	91	-13	13	3343	91	-13	13	3343	91	-13	13	3343	91	-13	13	3343	91	-13	13	3343	91	-13	13	3343	91	-13	13	3343	91	-13	13	3343	91	-13	13	3343	91	-13	13	3343	91	-13	13	3343	91	-13	13	3343	91	-13	13	3343	91	-13	13	3343	91	-13	13	3343	91	-13	13	3343	91	-13	13	3343	91	-13	13	3343	91	-13	13	3343	91	-13	13	3343	91	-13	13	3343	91	-13	13	3343	91	-13	13	3343	91	-13	13	3343
92	-118	19	3362	92	-118	19	3362	92	-118	19	3362	92	-118	19	3362	92	-118	19	3362	92	-118	19	3362	92	-118	19	3362	92	-118	19	3362	92	-118	19	3362	92	-118	19	3362	92	-118	19	3362	92	-118	19	3362	92	-118	19	3362	92	-118	19	3362	92	-118	19	3362	92	-118	19	3362	92	-118	19	3362	92	-118	19	3362	92	-118	19	3362	92	-118	19	3362	92	-118	19	3362	92	-118	19	3362	92	-118	19	3362	92	-118	19	3362	92	-118	19	3362
93	-125	26	3388	93	-125	26	3388	93	-125	26	3388	93	-125	26	3388	93	-125	26	3388	93	-125	26	3388	93	-125	26	3388	93	-125	26	3388	93	-125	26	3388	93	-125	26	3388	93	-125	26	3388	93	-125	26	3388	93	-125	26	3388	93	-125	26	3388	93	-125	26	3388	93	-125	26	3388	93	-125	26	3388	93	-125	26	3388	93	-125	26	3388	93	-125	26	3388	93	-125	26	3388	93	-125	26	3388	93	-125	26	3388	93	-125	26	3388	93	-125	26	3388
94	-130	31	3419	94	-130	31	3419	94	-130	31	3419	94	-130	31	3419	94	-130	31	3419	94	-130	31	3419	94	-130	31	3419	94	-130	31	3419	94	-130	31	3419	94	-130	31	3419	94	-130	31	3419	94	-130	31	3419	94	-130	31	3419	94	-130	31	3419	94	-130	31	3419	94	-130	31	3419	94	-130	31	3419	94	-130	31	3419	94	-130	31	3419	94	-130	31	3419	94	-130	31	3419	94	-130	31	3419	94	-130	31	3419	94	-130	31	3419	94	-130	31	3419
95	-15	15	3434	95	-15	15	3434	95	-15	15	3434	95	-15	15	3434	95	-15	15	3434	95	-15	15	3434	95	-15	15	3434	95	-15	15	3434	95	-15	15	3434	95	-15	15	3434	95	-15	15	3434	95	-15	15	3434	95	-15	15	3434	95	-15	15	3434	95	-15	15	3434	95	-15	15	3434	95	-15	15	3434	95	-15	15	3434	95	-15	15	3434	95	-15	15	3434	95	-15	15	3434	95	-15	15	3434	95	-15	15	3434	95	-15	15	3434	95	-15	15	3434
96	-15	15	3449	96	-15	15	3449	96	-15	15	3449	96	-15	15	3449	96	-15	15	3449	96	-15	15	3449	96	-15	15	3449	96	-15	15	3449	96	-15	15	3449	96	-15	15	3449	96	-15	15	3449	96	-15	15	3449	96	-15	15	3449	96	-15	15	3449	96	-15	15	3449	96	-15	15	3449	96	-15	15	3449	96	-15	15	3449	96	-15	15	3449	96	-15	15	3449	96	-15	15	3449	96	-15	15	3449	96	-15	15	3449	96	-15	15	3449	96	-15	15	3449
97	-13	13	3462	97	-13	13	3462	97	-13	13	3462	97	-13	13	3462	97	-13	13	3462	97	-13	13	3462	97	-13	13	3462	97	-13	13	3462	97	-13	13	3462	97	-13	13	3462	97	-13	13	3462	97	-13	13	3462	97	-13	13	3462	97	-13	13	3462	97	-13	13	3462	97	-13	13	3462	97	-13	13	3462	97	-13	13	3462	97	-13	13	3462	97	-13	13	3462	97	-13	13	3462	97	-13	13	3462	97	-13	13	3462	97	-13	13	3462	97	-13	13	3462
98	-13	13	3475	98	-13	13	3475	98	-13	13	3475	98	-13	13	3475	98	-13	13	3475	98	-13	13	3475	98	-13	13	3475	98	-13	13	3475	98	-13	13	3475	98	-13	13	3475	98	-13	13	3475	98	-13	13	3475	98	-13	13	3475	98	-13	13	3475	98	-13	13	3475	98	-13	13	3475	98	-13	13	3475	98	-13	13	3475	98	-13	13	3475	98	-13	13	3475	98	-13	13	3475	98	-13	13	3475	98	-13	13	3475	98	-13	13	3475	98	-13	13	3475
99	-19	19	3494	99	-19	19	3494	99	-19	19	3494	99	-19	19	3494	99	-19	19	3494	99	-19	19	3494	99	-19	19	3494	99	-19	19	3494	99	-19	19	3494	99	-19	19	3494	99	-19	19	3494	99	-19	19	3494	99	-19	19	3494	99	-19	19	3494	99	-19	19	3494	99	-19	19	3494	99	-19	19	3494	99	-19	19	3494	99	-19	19	3494	99	-19	19	3494	99	-19	19	3494	99	-19	19	3494	99	-19	19	3494	99	-19	19	3494	99	-19	19	3494
100	-17	17	3511	100	-17	17	3511	100	-17	17	3511	100	-17	17	3511	100	-17	17	3511	100	-17	17	3511	100	-17	17	3511	100	-17	17	3511	100	-17	17	3511	100	-17	17	3511	100	-17	17	3511	100	-17	17	3511	100	-17	17	3511	100	-17	17	3511	100	-17	17	3511	100	-17	17	3511	100	-17	17	3511	100	-17	17	3511	100	-17	17	3511	100	-17	17	3511	100	-17	17	3511	100	-17	17	3511	100	-17	17	3511	100	-17	17	3511	100	-17	17	3511
101	-15	15	3526	101	-15	15	3526	101	-15	15	3526	101	-15	15	3526	101	-15	15	3526	101	-15	15	3526	101	-15	15	3526	101	-15	15	3526	101	-15	15	3526	101	-15	15	3526	101	-15	15	3526	101	-15	15	3526	101	-15	15	3526	101	-15	15	3526	101	-15	15	3526	101	-15	15	3526	101	-15	15	3526	101	-15	15	3526	101	-15	15	3526	101	-15	15	3526	101	-15	15	3526	101	-15	15	3526	101	-15	15	3526	101	-15	15	3526	101	-15	15	3526
102	-117	18	3544	102	-117	18	3544	102	-117	18	3544	102	-117	18	3544	102	-117	18	3544	102	-117	18	3544	102	-117	18	3544	102	-117	18	3544	102	-117	18	3544	102	-117	18	3544	102	-117	18	3544	102	-117	18	3544	102	-117	18	3544	102	-117	18	3544	102	-117	18	3544	102	-117	18	3544	102	-117	18	3544	102	-117	18	3544	102	-117	18	3544	102	-117	18	3544	102	-117	18	3544	102	-117	18	3544	102	-117	18	3544	102	-117	18	3544	102	-117	18	3544
103	-127	28	3572	103	-127	28	3572	103	-127	28	3572	103	-127	28	3572	103	-127	28	3572	103	-127	28	3572	103	-127	28	3572	103	-127	28	3572	103	-127	28	3572	103	-127	28	3572	103	-127	28	3572	103	-127	28	3572	103	-127	28	3572	103	-127	28	3572	103	-127	28	3572	103	-127	28	3572	103	-127	28	3572	103	-127	28	3572	103	-127	28	3572	103	-127	28	3572	103	-127	28	3572	103	-127	28	3572	103	-127	28	3572	103	-127	28	3572	103	-127	28	3572
