Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
65	-13	13	1130	65	-13	13	1130	65	-13	13	1130	65	-13	13	1130	65	-13	13	1130	65	-13	13	1130	65	-13	13	1130	65	-13	13	1130	65	-13	13	1130	65	-13	13	1130	65	-13	13	1130	65	-13	13	1130	65	-13	13	1130	65	-13	13	1130	65	-13	13	1130	65	-13	13	1130	65	-13	13	1130	65	-13	13	1130	65	-13	13	1130	65	-13	13	1130
66	-17	17	1147	66	-17	17	1147	66	-17	17	1147	66	-17	17	1147	66	-17	17	1147	66	-17	17	1147	66	-17	17	1147	66	-17	17	1147	66	-17	17	1147	66	-17	17	1147	66	-17	17	1147	66	-17	17	1147	66	-17	17	1147	66	-17	17	1147	66	-17	17	1147	66	-17	17	1147	66	-17	17	1147	66	-17	17	1147	66	-17	17	1147	66	-17	17	1147
67	-15	15	1162	67	-15	15	1162	67	-15	15	1162	67	-15	15	1162	67	-15	15	1162	67	-15	15	1162	67	-15	15	1162	67	-15	15	1162	67	-15	15	1162	67	-15	15	1162	67	-15	15	1162	67	-15	15	1162	67	-15	15	1162	67	-15	15	1162	67	-15	15	1162	67	-15	15	1162	67	-15	15	1162	67	-15	15	1162	67	-15	15	1162	67	-15	15	1162
68	-17	17	1179	68	-17	17	1179	68	-17	17	1179	68	-17	17	1179	68	-17	17	1179	68	-17	17	1179	68	-17	17	1179	68	-17	17	1179	68	-17	17	1179	68	-17	17	1179	68	-17	17	1179	68	-17	17	1179	68	-17	17	1179	68	-17	17	1179	68	-17	17	1179	68	-17	17	1179	68	-17	17	1179	68	-17	17	1179	68	-17	17	1179	68	-17	17	1179
69	-15	15	1194	69	-15	15	1194	69	-15	15	1194	69	-15	15	1194	69	-15	15	1194	69	-15	15	1194	69	-15	15	1194	69	-15	15	1194	69	-15	15	1194	69	-15	15	1194	69	-15	15	1194	69	-15	15	1194	69	-15	15	1194	69	-15	15	1194	69	-15	15	1194	69	-15	15	1194	69	-15	15	1194	69	-15	15	1194	69	-15	15	1194	69	-15	15	1194
70	-124	25	1219	70	-124	25	1219	70	-124	25	1219	70	-124	25	1219	70	-124	25	1219	70	-124	25	1219	70	-124	25	1219	70	-124	25	1219	70	-124	25	1219	70	-124	25	1219	70	-124	25	1219	70	-124	25	1219	70	-124	25	1219	70	-124	25	1219	70	-124	25	1219	70	-124	25	1219	70	-124	25	1219	70	-124	25	1219	70	-124	25	1219	70	-124	25	1219
71	-19	19	1238	71	-19	19	1238	71	-19	19	1238	71	-19	19	1238	71	-19	19	1238	71	-19	19	1238	71	-19	19	1238	71	-19	19	1238	71	-19	19	1238	71	-19	19	1238	71	-19	19	1238	71	-19	19	1238	71	-19	19	1238	71	-19	19	1238	71	-19	19	1238	71	-19	19	1238	71	-19	19	1238	71	-19	19	1238	71	-19	19	1238	71	-19	19	1238
72	-117	18	1256	72	-117	18	1256	72	-117	18	1256	72	-117	18	1256	72	-117	18	1256	72	-117	18	1256	72	-117	18	1256	72	-117	18	1256	72	-117	18	1256	72	-117	18	1256	72	-117	18	1256	72	-117	18	1256	72	-117	18	1256	72	-117	18	1256	72	-117	18	1256	72	-117	18	1256	72	-117	18	1256	72	-117	18	1256	72	-117	18	1256	72	-117	18	1256
73	-13	13	1269	73	-13	13	1269	73	-13	13	1269	73	-13	13	1269	73	-13	13	1269	73	-13	13	1269	73	-13	13	1269	73	-13	13	1269	73	-13	13	1269	73	-13	13	1269	73	-13	13	1269	73	-13	13	1269	73	-13	13	1269	73	-13	13	1269	73	-13	13	1269	73	-13	13	1269	73	-13	13	1269	73	-13	13	1269	73	-13	13	1269	73	-13	13	1269
74	-13	13	1282	74	-13	13	1282	74	-13	13	1282	74	-13	13	1282	74	-13	13	1282	74	-13	13	1282	74	-13	13	1282	74	-13	13	1282	74	-13	13	1282	74	-13	13	1282	74	-13	13	1282	74	-13	13	1282	74	-13	13	1282	74	-13	13	1282	74	-13	13	1282	74	-13	13	1282	74	-13	13	1282	74	-13	13	1282	74	-13	13	1282	74	-13	13	1282
75	-124	25	1307	75	-124	25	1307	75	-124	25	1307	75	-124	25	1307	75	-124	25	1307	75	-124	25	1307	75	-124	25	1307	75	-124	25	1307	75	-124	25	1307	75	-124	25	1307	75	-124	25	1307	75	-124	25	1307	75	-124	25	1307	75	-124	25	1307	75	-124	25	1307	75	-124	25	1307	75	-124	25	1307	75	-124	25	1307	75	-124	25	1307	75	-124	25	1307
76	-13	13	1320	76	-13	13	1320	76	-13	13	1320	76	-13	13	1320	76	-13	13	1320	76	-13	13	1320	76	-13	13	1320	76	-13	13	1320	76	-13	13	1320	76	-13	13	1320	76	-13	13	1320	76	-13	13	1320	76	-13	13	1320	76	-13	13	1320	76	-13	13	1320	76	-13	13	1320	76	-13	13	1320	76	-13	13	1320	76	-13	13	1320	76	-13	13	1320
77	-15	15	1335	77	-15	15	1335	77	-15	15	1335	77	-15	15	1335	77	-15	15	1335	77	-15	15	1335	77	-15	15	1335	77	-15	15	1335	77	-15	15	1335	77	-15	15	1335	77	-15	15	1335	77	-15	15	1335	77	-15	15	1335	77	-15	15	1335	77	-15	15	1335	77	-15	15	1335	77	-15	15	1335	77	-15	15	1335	77	-15	15	1335	77	-15	15	1335
78	-15	15	1350	78	-15	15	1350	78	-15	15	1350	78	-15	15	1350	78	-15	15	1350	78	-15	15	1350	78	-15	15	1350	78	-15	15	1350	78	-15	15	1350	78	-15	15	1350	78	-15	15	1350	78	-15	15	1350	78	-15	15	1350	78	-15	15	1350	78	-15	15	1350	78	-15	15	1350	78	-15	15	1350	78	-15	15	1350	78	-15	15	1350	78	-15	15	1350
79	-13	13	1363	79	-13	13	1363	79	-13	13	1363	79	-13	13	1363	79	-13	13	1363	79	-13	13	1363	79	-13	13	1363	79	-13	13	1363	79	-13	13	1363	79	-13	13	1363	79	-13	13	1363	79	-13	13	1363	79	-13	13	1363	79	-13	13	1363	79	-13	13	1363	79	-13	13	1363	79	-13	13	1363	79	-13	13	1363	79	-13	13	1363	79	-13	13	1363
80	-15	15	1378	80	-15	15	1378	80	-15	15	1378	80	-15	15	1378	80	-15	15	1378	80	-15	15	1378	80	-15	15	1378	80	-15	15	1378	80	-15	15	1378	80	-15	15	1378	80	-15	15	1378	80	-15	15	1378	80	-15	15	1378	80	-15	15	1378	80	-15	15	1378	80	-15	15	1378	80	-15	15	1378	80	-15	15	1378	80	-15	15	1378	80	-15	15	1378
81	-13	13	1391	81	-13	13	1391	81	-13	13	1391	81	-13	13	1391	81	-13	13	1391	81	-13	13	1391	81	-13	13	1391	81	-13	13	1391	81	-13	13	1391	81	-13	13	1391	81	-13	13	1391	81	-13	13	1391	81	-13	13	1391	81	-13	13	1391	81	-13	13	1391	81	-13	13	1391	81	-13	13	1391	81	-13	13	1391	81	-13	13	1391	81	-13	13	1391
82	-13	13	1404	82	-13	13	1404	82	-13	13	1404	82	-13	13	1404	82	-13	13	1404	82	-13	13	1404	82	-13	13	1404	82	-13	13	1404	82	-13	13	1404	82	-13	13	1404	82	-13	13	1404	82	-13	13	1404	82	-13	13	1404	82	-13	13	1404	82	-13	13	1404	82	-13	13	1404	82	-13	13	1404	82	-13	13	1404	82	-13	13	1404	82	-13	13	1404
83	-118	19	1423	83	-118	19	1423	83	-118	19	1423	83	-118	19	1423	83	-118	19	1423	83	-118	19	1423	83	-118	19	1423	83	-118	19	1423	83	-118	19	1423	83	-118	19	1423	83	-118	19	1423	83	-118	19	1423	83	-118	19	1423	83	-118	19	1423	83	-118	19	1423	83	-118	19	1423	83	-118	19	1423	83	-118	19	1423	83	-118	19	1423	83	-118	19	1423
84	-13	13	1436	84	-13	13	1436	84	-13	13	1436	84	-13	13	1436	84	-13	13	1436	84	-13	13	1436	84	-13	13	1436	84	-13	13	1436	84	-13	13	1436	84	-13	13	1436	84	-13	13	1436	84	-13	13	1436	84	-13	13	1436	84	-13	13	1436	84	-13	13	1436	84	-13	13	1436	84	-13	13	1436	84	-13	13	1436	84	-13	13	1436	84	-13	13	1436
85	-13	13	1449	85	-13	13	1449	85	-13	13	1449	85	-13	13	1449	85	-13	13	1449	85	-13	13	1449	85	-13	13	1449	85	-13	13	1449	85	-13	13	1449	85	-13	13	1449	85	-13	13	1449	85	-13	13	1449	85	-13	13	1449	85	-13	13	1449	85	-13	13	1449	85	-13	13	1449	85	-13	13	1449	85	-13	13	1449	85	-13	13	1449	85	-13	13	1449
86	-125	26	1475	86	-125	26	1475	86	-125	26	1475	86	-125	26	1475	86	-125	26	1475	86	-125	26	1475	86	-125	26	1475	86	-125	26	1475	86	-125	26	1475	86	-125	26	1475	86	-125	26	1475	86	-125	26	1475	86	-125	26	1475	86	-125	26	1475	86	-125	26	1475	86	-125	26	1475	86	-125	26	1475	86	-125	26	1475	86	-125	26	1475	86	-125	26	1475
87	-13	13	1488	87	-13	13	1488	87	-13	13	1488	87	-13	13	1488	87	-13	13	1488	87	-13	13	1488	87	-13	13	1488	87	-13	13	1488	87	-13	13	1488	87	-13	13	1488	87	-13	13	1488	87	-13	13	1488	87	-13	13	1488	87	-13	13	1488	87	-13	13	1488	87	-13	13	1488	87	-13	13	1488	87	-13	13	1488	87	-13	13	1488	87	-13	13	1488
88	-13	13	1501	88	-13	13	1501	88	-13	13	1501	88	-13	13	1501	88	-13	13	1501	88	-13	13	1501	88	-13	13	1501	88	-13	13	1501	88	-13	13	1501	88	-13	13	1501	88	-13	13	1501	88	-13	13	1501	88	-13	13	1501	88	-13	13	1501	88	-13	13	1501	88	-13	13	1501	88	-13	13	1501	88	-13	13	1501	88	-13	13	1501	88	-13	13	1501
89	-13	13	1514	89	-13	13	1514	89	-13	13	1514	89	-13	13	1514	89	-13	13	1514	89	-13	13	1514	89	-13	13	1514	89	-13	13	1514	89	-13	13	1514	89	-13	13	1514	89	-13	13	1514	89	-13	13	1514	89	-13	13	1514	89	-13	13	1514	89	-13	13	1514	89	-13	13	1514	89	-13	13	1514	89	-13	13	1514	89	-13	13	1514	89	-13	13	1514
90	-15	15	1529	90	-15	15	1529	90	-15	15	1529	90	-15	15	1529	90	-15	15	1529	90	-15	15	1529	90	-15	15	1529	90	-15	15	1529	90	-15	15	1529	90	-15	15	1529	90	-15	15	1529	90	-15	15	1529	90	-15	15	1529	90	-15	15	1529	90	-15	15	1529	90	-15	15	1529	90	-15	15	1529	90	-15	15	1529	90	-15	15	1529	90	-15	15	1529
91	-13	13	1542	91	-13	13	1542	91	-13	13	1542	91	-13	13	1542	91	-13	13	1542	91	-13	13	1542	91	-13	13	1542	91	-13	13	1542	91	-13	13	1542	91	-13	13	1542	91	-13	13	1542	91	-13	13	1542	91	-13	13	1542	91	-13	13	1542	91	-13	13	1542	91	-13	13	1542	91	-13	13	1542	91	-13	13	1542	91	-13	13	1542	91	-13	13	1542
92	-222	24	1566	92	-222	24	1566	92	-222	24	1566	92	-222	24	1566	92	-222	24	1566	92	-222	24	1566	92	-222	24	1566	92	-222	24	1566	92	-222	24	1566	92	-222	24	1566	92	-222	24	1566	92	-222	24	1566	92	-222	24	1566	92	-222	24	1566	92	-222	24	1566	92	-222	24	1566	92	-222	24	1566	92	-222	24	1566	92	-222	24	1566	92	-222	24	1566
93	-223	25	1591	93	-223	25	1591	93	-223	25	1591	93	-223	25	1591	93	-223	25	1591	93	-223	25	1591	93	-223	25	1591	93	-223	25	1591	93	-223	25	1591	93	-223	25	1591	93	-223	25	1591	93	-223	25	1591	93	-223	25	1591	93	-223	25	1591	93	-223	25	1591	93	-223	25	1591	93	-223	25	1591	93	-223	25	1591	93	-223	25	1591	93	-223	25	1591
94	-122	23	1614	94	-122	23	1614	94	-122	23	1614	94	-122	23	1614	94	-122	23	1614	94	-122	23	1614	94	-122	23	1614	94	-122	23	1614	94	-122	23	1614	94	-122	23	1614	94	-122	23	1614	94	-122	23	1614	94	-122	23	1614	94	-122	23	1614	94	-122	23	1614	94	-122	23	1614	94	-122	23	1614	94	-122	23	1614	94	-122	23	1614	94	-122	23	1614
95	-13	13	1627	95	-13	13	1627	95	-13	13	1627	95	-13	13	1627	95	-13	13	1627	95	-13	13	1627	95	-13	13	1627	95	-13	13	1627	95	-13	13	1627	95	-13	13	1627	95	-13	13	1627	95	-13	13	1627	95	-13	13	1627	95	-13	13	1627	95	-13	13	1627	95	-13	13	1627	95	-13	13	1627	95	-13	13	1627	95	-13	13	1627	95	-13	13	1627
96	-13	13	1640	96	-13	13	1640	96	-13	13	1640	96	-13	13	1640	96	-13	13	1640	96	-13	13	1640	96	-13	13	1640	96	-13	13	1640	96	-13	13	1640	96	-13	13	1640	96	-13	13	1640	96	-13	13	1640	96	-13	13	1640	96	-13	13	1640	96	-13	13	1640	96	-13	13	1640	96	-13	13	1640	96	-13	13	1640	96	-13	13	1640	96	-13	13	1640
97	-119	20	1660	97	-119	20	1660	97	-119	20	1660	97	-119	20	1660	97	-119	20	1660	97	-119	20	1660	97	-119	20	1660	97	-119	20	1660	97	-119	20	1660	97	-119	20	1660	97	-119	20	1660	97	-119	20	1660	97	-119	20	1660	97	-119	20	1660	97	-119	20	1660	97	-119	20	1660	97	-119	20	1660	97	-119	20	1660	97	-119	20	1660	97	-119	20	1660
98	-117	18	1678	98	-117	18	1678	98	-117	18	1678	98	-117	18	1678	98	-117	18	1678	98	-117	18	1678	98	-117	18	1678	98	-117	18	1678	98	-117	18	1678	98	-117	18	1678	98	-117	18	1678	98	-117	18	1678	98	-117	18	1678	98	-117	18	1678	98	-117	18	1678	98	-117	18	1678	98	-117	18	1678	98	-117	18	1678	98	-117	18	1678	98	-117	18	1678
99	-119	20	1698	99	-119	20	1698	99	-119	20	1698	99	-119	20	1698	99	-119	20	1698	99	-119	20	1698	99	-119	20	1698	99	-119	20	1698	99	-119	20	1698	99	-119	20	1698	99	-119	20	1698	99	-119	20	1698	99	-119	20	1698	99	-119	20	1698	99	-119	20	1698	99	-119	20	1698	99	-119	20	1698	99	-119	20	1698	99	-119	20	1698	99	-119	20	1698
100	-15	15	1713	100	-15	15	1713	100	-15	15	1713	100	-15	15	1713	100	-15	15	1713	100	-15	15	1713	100	-15	15	1713	100	-15	15	1713	100	-15	15	1713	100	-15	15	1713	100	-15	15	1713	100	-15	15	1713	100	-15	15	1713	100	-15	15	1713	100	-15	15	1713	100	-15	15	1713	100	-15	15	1713	100	-15	15	1713	100	-15	15	1713	100	-15	15	1713
101	-17	17	1730	101	-17	17	1730	101	-17	17	1730	101	-17	17	1730	101	-17	17	1730	101	-17	17	1730	101	-17	17	1730	101	-17	17	1730	101	-17	17	1730	101	-17	17	1730	101	-17	17	1730	101	-17	17	1730	101	-17	17	1730	101	-17	17	1730	101	-17	17	1730	101	-17	17	1730	101	-17	17	1730	101	-17	17	1730	101	-17	17	1730	101	-17	17	1730
102	-14	14	1744	102	-14	14	1744	102	-14	14	1744	102	-14	14	1744	102	-14	14	1744	102	-14	14	1744	102	-14	14	1744	102	-14	14	1744	102	-14	14	1744	102	-14	14	1744	102	-14	14	1744	102	-14	14	1744	102	-14	14	1744	102	-14	14	1744	102	-14	14	1744	102	-14	14	1744	102	-14	14	1744	102	-14	14	1744	102	-14	14	1744	102	-14	14	1744
103	-15	15	1759	103	-15	15	1759	103	-15	15	1759	103	-15	15	1759	103	-15	15	1759	103	-15	15	1759	103	-15	15	1759	103	-15	15	1759	103	-15	15	1759	103	-15	15	1759	103	-15	15	1759	103	-15	15	1759	103	-15	15	1759	103	-15	15	1759	103	-15	15	1759	103	-15	15	1759	103	-15	15	1759	103	-15	15	1759	103	-15	15	1759	103	-15	15	1759
104	-21	21	1780	104	-21	21	1780	104	-21	21	1780	104	-21	21	1780	104	-21	21	1780	104	-21	21	1780	104	-21	21	1780	104	-21	21	1780	104	-21	21	1780	104	-21	21	1780	104	-21	21	1780	104	-21	21	1780	104	-21	21	1780	104	-21	21	1780	104	-21	21	1780	104	-21	21	1780	104	-21	21	1780	104	-21	21	1780	104	-21	21	1780	104	-21	21	1780
105	-123	24	1804	105	-123	24	1804	105	-123	24	1804	105	-123	24	1804	105	-123	24	1804	105	-123	24	1804	105	-123	24	1804	105	-123	24	1804	105	-123	24	1804	105	-123	24	1804	105	-123	24	1804	105	-123	24	1804	105	-123	24	1804	105	-123	24	1804	105	-123	24	1804	105	-123	24	1804	105	-123	24	1804	105	-123	24	1804	105	-123	24	1804	105	-123	24	1804
106	-13	13	1817	106	-13	13	1817	106	-13	13	1817	106	-13	13	1817	106	-13	13	1817	106	-13	13	1817	106	-13	13	1817	106	-13	13	1817	106	-13	13	1817	106	-13	13	1817	106	-13	13	1817	106	-13	13	1817	106	-13	13	1817	106	-13	13	1817	106	-13	13	1817	106	-13	13	1817	106	-13	13	1817	106	-13	13	1817	106	-13	13	1817	106	-13	13	1817
107	-14	14	1831	107	-14	14	1831	107	-14	14	1831	107	-14	14	1831	107	-14	14	1831	107	-14	14	1831	107	-14	14	1831	107	-14	14	1831	107	-14	14	1831	107	-14	14	1831	107	-14	14	1831	107	-14	14	1831	107	-14	14	1831	107	-14	14	1831	107	-14	14	1831	107	-14	14	1831	107	-14	14	1831	107	-14	14	1831	107	-14	14	1831	107	-14	14	1831
108	-15	15	1846	108	-15	15	1846	108	-15	15	1846	108	-15	15	1846	108	-15	15	1846	108	-15	15	1846	108	-15	15	1846	108	-15	15	1846	108	-15	15	1846	108	-15	15	1846	108	-15	15	1846	108	-15	15	1846	108	-15	15	1846	108	-15	15	1846	108	-15	15	1846	108	-15	15	1846	108	-15	15	1846	108	-15	15	1846	108	-15	15	1846	108	-15	15	1846
109	-16	16	1862	109	-16	16	1862	109	-16	16	1862	109	-16	16	1862	109	-16	16	1862	109	-16	16	1862	109	-16	16	1862	109	-16	16	1862	109	-16	16	1862	109	-16	16	1862	109	-16	16	1862	109	-16	16	1862	109	-16	16	1862	109	-16	16	1862	109	-16	16	1862	109	-16	16	1862	109	-16	16	1862	109	-16	16	1862	109	-16	16	1862	109	-16	16	1862
110	-14	14	1876	110	-14	14	1876	110	-14	14	1876	110	-14	14	1876	110	-14	14	1876	110	-14	14	1876	110	-14	14	1876	110	-14	14	1876	110	-14	14	1876	110	-14	14	1876	110	-14	14	1876	110	-14	14	1876	110	-14	14	1876	110	-14	14	1876	110	-14	14	1876	110	-14	14	1876	110	-14	14	1876	110	-14	14	1876	110	-14	14	1876	110	-14	14	1876
111	-121	22	1898	111	-121	22	1898	111	-121	22	1898	111	-121	22	1898	111	-121	22	1898	111	-121	22	1898	111	-121	22	1898	111	-121	22	1898	111	-121	22	1898	111	-121	22	1898	111	-121	22	1898	111	-121	22	1898	111	-121	22	1898	111	-121	22	1898	111	-121	22	1898	111	-121	22	1898	111	-121	22	1898	111	-121	22	1898	111	-121	22	1898	111	-121	22	1898
112	-15	15	1913	112	-15	15	1913	112	-15	15	1913	112	-15	15	1913	112	-15	15	1913	112	-15	15	1913	112	-15	15	1913	112	-15	15	1913	112	-15	15	1913	112	-15	15	1913	112	-15	15	1913	112	-15	15	1913	112	-15	15	1913	112	-15	15	1913	112	-15	15	1913	112	-15	15	1913	112	-15	15	1913	112	-15	15	1913	112	-15	15	1913	112	-15	15	1913
113	-13	13	1926	113	-13	13	1926	113	-13	13	1926	113	-13	13	1926	113	-13	13	1926	113	-13	13	1926	113	-13	13	1926	113	-13	13	1926	113	-13	13	1926	113	-13	13	1926	113	-13	13	1926	113	-13	13	1926	113	-13	13	1926	113	-13	13	1926	113	-13	13	1926	113	-13	13	1926	113	-13	13	1926	113	-13	13	1926	113	-13	13	1926	113	-13	13	1926
114	-13	13	1939	114	-13	13	1939	114	-13	13	1939	114	-13	13	1939	114	-13	13	1939	114	-13	13	1939	114	-13	13	1939	114	-13	13	1939	114	-13	13	1939	114	-13	13	1939	114	-13	13	1939	114	-13	13	1939	114	-13	13	1939	114	-13	13	1939	114	-13	13	1939	114	-13	13	1939	114	-13	13	1939	114	-13	13	1939	114	-13	13	1939	114	-13	13	1939
115	-13	13	1952	115	-13	13	1952	115	-13	13	1952	115	-13	13	1952	115	-13	13	1952	115	-13	13	1952	115	-13	13	1952	115	-13	13	1952	115	-13	13	1952	115	-13	13	1952	115	-13	13	1952	115	-13	13	1952	115	-13	13	1952	115	-13	13	1952	115	-13	13	1952	115	-13	13	1952	115	-13	13	1952	115	-13	13	1952	115	-13	13	1952	115	-13	13	1952
116	-15	15	1967	116	-15	15	1967	116	-15	15	1967	116	-15	15	1967	116	-15	15	1967	116	-15	15	1967	116	-15	15	1967	116	-15	15	1967	116	-15	15	1967	116	-15	15	1967	116	-15	15	1967	116	-15	15	1967	116	-15	15	1967	116	-15	15	1967	116	-15	15	1967	116	-15	15	1967	116	-15	15	1967	116	-15	15	1967	116	-15	15	1967	116	-15	15	1967
117	-15	15	1982	117	-15	15	1982	117	-15	15	1982	117	-15	15	1982	117	-15	15	1982	117	-15	15	1982	117	-15	15	1982	117	-15	15	1982	117	-15	15	1982	117	-15	15	1982	117	-15	15	1982	117	-15	15	1982	117	-15	15	1982	117	-15	15	1982	117	-15	15	1982	117	-15	15	1982	117	-15	15	1982	117	-15	15	1982	117	-15	15	1982	117	-15	15	1982
118	-19	19	2001	118	-19	19	2001	118	-19	19	2001	118	-19	19	2001	118	-19	19	2001	118	-19	19	2001	118	-19	19	2001	118	-19	19	2001	118	-19	19	2001	118	-19	19	2001	118	-19	19	2001	118	-19	19	2001	118	-19	19	2001	118	-19	19	2001	118	-19	19	2001	118	-19	19	2001	118	-19	19	2001	118	-19	19	2001	118	-19	19	2001	118	-19	19	2001
119	-127	28	2029	119	-127	28	2029	119	-127	28	2029	119	-127	28	2029	119	-127	28	2029	119	-127	28	2029	119	-127	28	2029	119	-127	28	2029	119	-127	28	2029	119	-127	28	2029	119	-127	28	2029	119	-127	28	2029	119	-127	28	2029	119	-127	28	2029	119	-127	28	2029	119	-127	28	2029	119	-127	28	2029	119	-127	28	2029	119	-127	28	2029	119	-127	28	2029
120	-235	37	2066	120	-235	37	2066	120	-235	37	2066	120	-235	37	2066	120	-235	37	2066	120	-235	37	2066	120	-235	37	2066	120	-235	37	2066	120	-235	37	2066	120	-235	37	2066	120	-235	37	2066	120	-235	37	2066	120	-235	37	2066	120	-235	37	2066	120	-235	37	2066	120	-235	37	2066	120	-235	37	2066	120	-235	37	2066	120	-235	37	2066	120	-235	37	2066
121	-13	13	2079	121	-13	13	2079	121	-13	13	2079	121	-13	13	2079	121	-13	13	2079	121	-13	13	2079	121	-13	13	2079	121	-13	13	2079	121	-13	13	2079	121	-13	13	2079	121	-13	13	2079	121	-13	13	2079	121	-13	13	2079	121	-13	13	2079	121	-13	13	2079	121	-13	13	2079	121	-13	13	2079	121	-13	13	2079	121	-13	13	2079	121	-13	13	2079
122	-13	13	2092	122	-13	13	2092	122	-13	13	2092	122	-13	13	2092	122	-13	13	2092	122	-13	13	2092	122	-13	13	2092	122	-13	13	2092	122	-13	13	2092	122	-13	13	2092	122	-13	13	2092	122	-13	13	2092	122	-13	13	2092	122	-13	13	2092	122	-13	13	2092	122	-13	13	2092	122	-13	13	2092	122	-13	13	2092	122	-13	13	2092	122	-13	13	2092
123	-122	23	2115	123	-122	23	2115	123	-122	23	2115	123	-122	23	2115	123	-122	23	2115	123	-122	23	2115	123	-122	23	2115	123	-122	23	2115	123	-122	23	2115	123	-122	23	2115	123	-122	23	2115	123	-122	23	2115	123	-122	23	2115	123	-122	23	2115	123	-122	23	2115	123	-122	23	2115	123	-122	23	2115	123	-122	23	2115	123	-122	23	2115	123	-122	23	2115
124	-221	23	2138	124	-221	23	2138	124	-221	23	2138	124	-221	23	2138	124	-221	23	2138	124	-221	23	2138	124	-221	23	2138	124	-221	23	2138	124	-221	23	2138	124	-221	23	2138	124	-221	23	2138	124	-221	23	2138	124	-221	23	2138	124	-221	23	2138	124	-221	23	2138	124	-221	23	2138	124	-221	23	2138	124	-221	23	2138	124	-221	23	2138	124	-221	23	2138
125	-13	13	2151	125	-13	13	2151	125	-13	13	2151	125	-13	13	2151	125	-13	13	2151	125	-13	13	2151	125	-13	13	2151	125	-13	13	2151	125	-13	13	2151	125	-13	13	2151	125	-13	13	2151	125	-13	13	2151	125	-13	13	2151	125	-13	13	2151	125	-13	13	2151	125	-13	13	2151	125	-13	13	2151	125	-13	13	2151	125	-13	13	2151	125	-13	13	2151
126	-13	13	2164	126	-13	13	2164	126	-13	13	2164	126	-13	13	2164	126	-13	13	2164	126	-13	13	2164	126	-13	13	2164	126	-13	13	2164	126	-13	13	2164	126	-13	13	2164	126	-13	13	2164	126	-13	13	2164	126	-13	13	2164	126	-13	13	2164	126	-13	13	2164	126	-13	13	2164	126	-13	13	2164	126	-13	13	2164	126	-13	13	2164	126	-13	13	2164
127	-15	15	2179	127	-15	15	2179	127	-15	15	2179	127	-15	15	2179	127	-15	15	2179	127	-15	15	2179	127	-15	15	2179	127	-15	15	2179	127	-15	15	2179	127	-15	15	2179	127	-15	15	2179	127	-15	15	2179	127	-15	15	2179	127	-15	15	2179	127	-15	15	2179	127	-15	15	2179	127	-15	15	2179	127	-15	15	2179	127	-15	15	2179	127	-15	15	2179
128	-226	28	2207	128	-226	28	2207	128	-226	28	2207	128	-226	28	2207	128	-226	28	2207	128	-226	28	2207	128	-226	28	2207	128	-226	28	2207	128	-226	28	2207	128	-226	28	2207	128	-226	28	2207	128	-226	28	2207	128	-226	28	2207	128	-226	28	2207	128	-226	28	2207	128	-226	28	2207	128	-226	28	2207	128	-226	28	2207	128	-226	28	2207	128	-226	28	2207
129	-219	21	2228	129	-219	21	2228	129	-219	21	2228	129	-219	21	2228	129	-219	21	2228	129	-219	21	2228	129	-219	21	2228	129	-219	21	2228	129	-219	21	2228	129	-219	21	2228	129	-219	21	2228	129	-219	21	2228	129	-219	21	2228	129	-219	21	2228	129	-219	21	2228	129	-219	21	2228	129	-219	21	2228	129	-219	21	2228	129	-219	21	2228	129	-219	21	2228
130	-13	13	2241	130	-13	13	2241	130	-13	13	2241	130	-13	13	2241	130	-13	13	2241	130	-13	13	2241	130	-13	13	2241	130	-13	13	2241	130	-13	13	2241	130	-13	13	2241	130	-13	13	2241	130	-13	13	2241	130	-13	13	2241	130	-13	13	2241	130	-13	13	2241	130	-13	13	2241	130	-13	13	2241	130	-13	13	2241	130	-13	13	2241	130	-13	13	2241
131	-122	23	2264	131	-122	23	2264	131	-122	23	2264	131	-122	23	2264	131	-122	23	2264	131	-122	23	2264	131	-122	23	2264	131	-122	23	2264	131	-122	23	2264	131	-122	23	2264	131	-122	23	2264	131	-122	23	2264	131	-122	23	2264	131	-122	23	2264	131	-122	23	2264	131	-122	23	2264	131	-122	23	2264	131	-122	23	2264	131	-122	23	2264	131	-122	23	2264
132	-13	13	2277	132	-13	13	2277	132	-13	13	2277	132	-13	13	2277	132	-13	13	2277	132	-13	13	2277	132	-13	13	2277	132	-13	13	2277	132	-13	13	2277	132	-13	13	2277	132	-13	13	2277	132	-13	13	2277	132	-13	13	2277	132	-13	13	2277	132	-13	13	2277	132	-13	13	2277	132	-13	13	2277	132	-13	13	2277	132	-13	13	2277	132	-13	13	2277
