Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
56	-15	15	2790	56	-15	15	2790	56	-15	15	2790	56	-15	15	2790	56	-15	15	2790	56	-15	15	2790	56	-15	15	2790	56	-15	15	2790	56	-15	15	2790	56	-15	15	2790	56	-15	15	2790	56	-15	15	2790	56	-15	15	2790	56	-15	15	2790	56	-15	15	2790	56	-15	15	2790	56	-15	15	2790	56	-15	15	2790	56	-15	15	2790	56	-15	15	2790	56	-15	15	2790	56	-15	15	2790
57	-13	13	2803	57	-13	13	2803	57	-13	13	2803	57	-13	13	2803	57	-13	13	2803	57	-13	13	2803	57	-13	13	2803	57	-13	13	2803	57	-13	13	2803	57	-13	13	2803	57	-13	13	2803	57	-13	13	2803	57	-13	13	2803	57	-13	13	2803	57	-13	13	2803	57	-13	13	2803	57	-13	13	2803	57	-13	13	2803	57	-13	13	2803	57	-13	13	2803	57	-13	13	2803	57	-13	13	2803
58	-17	17	2820	58	-17	17	2820	58	-17	17	2820	58	-17	17	2820	58	-17	17	2820	58	-17	17	2820	58	-17	17	2820	58	-17	17	2820	58	-17	17	2820	58	-17	17	2820	58	-17	17	2820	58	-17	17	2820	58	-17	17	2820	58	-17	17	2820	58	-17	17	2820	58	-17	17	2820	58	-17	17	2820	58	-17	17	2820	58	-17	17	2820	58	-17	17	2820	58	-17	17	2820	58	-17	17	2820
59	-118	19	2839	59	-118	19	2839	59	-118	19	2839	59	-118	19	2839	59	-118	19	2839	59	-118	19	2839	59	-118	19	2839	59	-118	19	2839	59	-118	19	2839	59	-118	19	2839	59	-118	19	2839	59	-118	19	2839	59	-118	19	2839	59	-118	19	2839	59	-118	19	2839	59	-118	19	2839	59	-118	19	2839	59	-118	19	2839	59	-118	19	2839	59	-118	19	2839	59	-118	19	2839	59	-118	19	2839
60	-120	21	2860	60	-120	21	2860	60	-120	21	2860	60	-120	21	2860	60	-120	21	2860	60	-120	21	2860	60	-120	21	2860	60	-120	21	2860	60	-120	21	2860	60	-120	21	2860	60	-120	21	2860	60	-120	21	2860	60	-120	21	2860	60	-120	21	2860	60	-120	21	2860	60	-120	21	2860	60	-120	21	2860	60	-120	21	2860	60	-120	21	2860	60	-120	21	2860	60	-120	21	2860	60	-120	21	2860
61	-13	13	2873	61	-13	13	2873	61	-13	13	2873	61	-13	13	2873	61	-13	13	2873	61	-13	13	2873	61	-13	13	2873	61	-13	13	2873	61	-13	13	2873	61	-13	13	2873	61	-13	13	2873	61	-13	13	2873	61	-13	13	2873	61	-13	13	2873	61	-13	13	2873	61	-13	13	2873	61	-13	13	2873	61	-13	13	2873	61	-13	13	2873	61	-13	13	2873	61	-13	13	2873	61	-13	13	2873
62	-13	13	2886	62	-13	13	2886	62	-13	13	2886	62	-13	13	2886	62	-13	13	2886	62	-13	13	2886	62	-13	13	2886	62	-13	13	2886	62	-13	13	2886	62	-13	13	2886	62	-13	13	2886	62	-13	13	2886	62	-13	13	2886	62	-13	13	2886	62	-13	13	2886	62	-13	13	2886	62	-13	13	2886	62	-13	13	2886	62	-13	13	2886	62	-13	13	2886	62	-13	13	2886	62	-13	13	2886
63	-25	25	2911	63	-25	25	2911	63	-25	25	2911	63	-25	25	2911	63	-25	25	2911	63	-25	25	2911	63	-25	25	2911	63	-25	25	2911	63	-25	25	2911	63	-25	25	2911	63	-25	25	2911	63	-25	25	2911	63	-25	25	2911	63	-25	25	2911	63	-25	25	2911	63	-25	25	2911	63	-25	25	2911	63	-25	25	2911	63	-25	25	2911	63	-25	25	2911	63	-25	25	2911	63	-25	25	2911
64	-121	22	2933	64	-121	22	2933	64	-121	22	2933	64	-121	22	2933	64	-121	22	2933	64	-121	22	2933	64	-121	22	2933	64	-121	22	2933	64	-121	22	2933	64	-121	22	2933	64	-121	22	2933	64	-121	22	2933	64	-121	22	2933	64	-121	22	2933	64	-121	22	2933	64	-121	22	2933	64	-121	22	2933	64	-121	22	2933	64	-121	22	2933	64	-121	22	2933	64	-121	22	2933	64	-121	22	2933
65	-15	15	2948	65	-15	15	2948	65	-15	15	2948	65	-15	15	2948	65	-15	15	2948	65	-15	15	2948	65	-15	15	2948	65	-15	15	2948	65	-15	15	2948	65	-15	15	2948	65	-15	15	2948	65	-15	15	2948	65	-15	15	2948	65	-15	15	2948	65	-15	15	2948	65	-15	15	2948	65	-15	15	2948	65	-15	15	2948	65	-15	15	2948	65	-15	15	2948	65	-15	15	2948	65	-15	15	2948
66	-115	16	2964	66	-115	16	2964	66	-115	16	2964	66	-115	16	2964	66	-115	16	2964	66	-115	16	2964	66	-115	16	2964	66	-115	16	2964	66	-115	16	2964	66	-115	16	2964	66	-115	16	2964	66	-115	16	2964	66	-115	16	2964	66	-115	16	2964	66	-115	16	2964	66	-115	16	2964	66	-115	16	2964	66	-115	16	2964	66	-115	16	2964	66	-115	16	2964	66	-115	16	2964	66	-115	16	2964
67	-13	13	2977	67	-13	13	2977	67	-13	13	2977	67	-13	13	2977	67	-13	13	2977	67	-13	13	2977	67	-13	13	2977	67	-13	13	2977	67	-13	13	2977	67	-13	13	2977	67	-13	13	2977	67	-13	13	2977	67	-13	13	2977	67	-13	13	2977	67	-13	13	2977	67	-13	13	2977	67	-13	13	2977	67	-13	13	2977	67	-13	13	2977	67	-13	13	2977	67	-13	13	2977	67	-13	13	2977
68	-239	41	3018	68	-239	41	3018	68	-239	41	3018	68	-239	41	3018	68	-239	41	3018	68	-239	41	3018	68	-239	41	3018	68	-239	41	3018	68	-239	41	3018	68	-239	41	3018	68	-239	41	3018	68	-239	41	3018	68	-239	41	3018	68	-239	41	3018	68	-239	41	3018	68	-239	41	3018	68	-239	41	3018	68	-239	41	3018	68	-239	41	3018	68	-239	41	3018	68	-239	41	3018	68	-239	41	3018
69	-15	15	3033	69	-15	15	3033	69	-15	15	3033	69	-15	15	3033	69	-15	15	3033	69	-15	15	3033	69	-15	15	3033	69	-15	15	3033	69	-15	15	3033	69	-15	15	3033	69	-15	15	3033	69	-15	15	3033	69	-15	15	3033	69	-15	15	3033	69	-15	15	3033	69	-15	15	3033	69	-15	15	3033	69	-15	15	3033	69	-15	15	3033	69	-15	15	3033	69	-15	15	3033	69	-15	15	3033
70	-20	20	3053	70	-20	20	3053	70	-20	20	3053	70	-20	20	3053	70	-20	20	3053	70	-20	20	3053	70	-20	20	3053	70	-20	20	3053	70	-20	20	3053	70	-20	20	3053	70	-20	20	3053	70	-20	20	3053	70	-20	20	3053	70	-20	20	3053	70	-20	20	3053	70	-20	20	3053	70	-20	20	3053	70	-20	20	3053	70	-20	20	3053	70	-20	20	3053	70	-20	20	3053	70	-20	20	3053
71	-15	15	3068	71	-15	15	3068	71	-15	15	3068	71	-15	15	3068	71	-15	15	3068	71	-15	15	3068	71	-15	15	3068	71	-15	15	3068	71	-15	15	3068	71	-15	15	3068	71	-15	15	3068	71	-15	15	3068	71	-15	15	3068	71	-15	15	3068	71	-15	15	3068	71	-15	15	3068	71	-15	15	3068	71	-15	15	3068	71	-15	15	3068	71	-15	15	3068	71	-15	15	3068	71	-15	15	3068
72	-15	15	3083	72	-15	15	3083	72	-15	15	3083	72	-15	15	3083	72	-15	15	3083	72	-15	15	3083	72	-15	15	3083	72	-15	15	3083	72	-15	15	3083	72	-15	15	3083	72	-15	15	3083	72	-15	15	3083	72	-15	15	3083	72	-15	15	3083	72	-15	15	3083	72	-15	15	3083	72	-15	15	3083	72	-15	15	3083	72	-15	15	3083	72	-15	15	3083	72	-15	15	3083	72	-15	15	3083
73	-121	22	3105	73	-121	22	3105	73	-121	22	3105	73	-121	22	3105	73	-121	22	3105	73	-121	22	3105	73	-121	22	3105	73	-121	22	3105	73	-121	22	3105	73	-121	22	3105	73	-121	22	3105	73	-121	22	3105	73	-121	22	3105	73	-121	22	3105	73	-121	22	3105	73	-121	22	3105	73	-121	22	3105	73	-121	22	3105	73	-121	22	3105	73	-121	22	3105	73	-121	22	3105	73	-121	22	3105
74	-122	23	3128	74	-122	23	3128	74	-122	23	3128	74	-122	23	3128	74	-122	23	3128	74	-122	23	3128	74	-122	23	3128	74	-122	23	3128	74	-122	23	3128	74	-122	23	3128	74	-122	23	3128	74	-122	23	3128	74	-122	23	3128	74	-122	23	3128	74	-122	23	3128	74	-122	23	3128	74	-122	23	3128	74	-122	23	3128	74	-122	23	3128	74	-122	23	3128	74	-122	23	3128	74	-122	23	3128
75	-223	25	3153	75	-223	25	3153	75	-223	25	3153	75	-223	25	3153	75	-223	25	3153	75	-223	25	3153	75	-223	25	3153	75	-223	25	3153	75	-223	25	3153	75	-223	25	3153	75	-223	25	3153	75	-223	25	3153	75	-223	25	3153	75	-223	25	3153	75	-223	25	3153	75	-223	25	3153	75	-223	25	3153	75	-223	25	3153	75	-223	25	3153	75	-223	25	3153	75	-223	25	3153	75	-223	25	3153
76	-18	18	3171	76	-18	18	3171	76	-18	18	3171	76	-18	18	3171	76	-18	18	3171	76	-18	18	3171	76	-18	18	3171	76	-18	18	3171	76	-18	18	3171	76	-18	18	3171	76	-18	18	3171	76	-18	18	3171	76	-18	18	3171	76	-18	18	3171	76	-18	18	3171	76	-18	18	3171	76	-18	18	3171	76	-18	18	3171	76	-18	18	3171	76	-18	18	3171	76	-18	18	3171	76	-18	18	3171
77	-13	13	3184	77	-13	13	3184	77	-13	13	3184	77	-13	13	3184	77	-13	13	3184	77	-13	13	3184	77	-13	13	3184	77	-13	13	3184	77	-13	13	3184	77	-13	13	3184	77	-13	13	3184	77	-13	13	3184	77	-13	13	3184	77	-13	13	3184	77	-13	13	3184	77	-13	13	3184	77	-13	13	3184	77	-13	13	3184	77	-13	13	3184	77	-13	13	3184	77	-13	13	3184	77	-13	13	3184
78	-16	16	3200	78	-16	16	3200	78	-16	16	3200	78	-16	16	3200	78	-16	16	3200	78	-16	16	3200	78	-16	16	3200	78	-16	16	3200	78	-16	16	3200	78	-16	16	3200	78	-16	16	3200	78	-16	16	3200	78	-16	16	3200	78	-16	16	3200	78	-16	16	3200	78	-16	16	3200	78	-16	16	3200	78	-16	16	3200	78	-16	16	3200	78	-16	16	3200	78	-16	16	3200	78	-16	16	3200
79	-13	13	3213	79	-13	13	3213	79	-13	13	3213	79	-13	13	3213	79	-13	13	3213	79	-13	13	3213	79	-13	13	3213	79	-13	13	3213	79	-13	13	3213	79	-13	13	3213	79	-13	13	3213	79	-13	13	3213	79	-13	13	3213	79	-13	13	3213	79	-13	13	3213	79	-13	13	3213	79	-13	13	3213	79	-13	13	3213	79	-13	13	3213	79	-13	13	3213	79	-13	13	3213	79	-13	13	3213
80	-17	17	3230	80	-17	17	3230	80	-17	17	3230	80	-17	17	3230	80	-17	17	3230	80	-17	17	3230	80	-17	17	3230	80	-17	17	3230	80	-17	17	3230	80	-17	17	3230	80	-17	17	3230	80	-17	17	3230	80	-17	17	3230	80	-17	17	3230	80	-17	17	3230	80	-17	17	3230	80	-17	17	3230	80	-17	17	3230	80	-17	17	3230	80	-17	17	3230	80	-17	17	3230	80	-17	17	3230
81	-231	33	3263	81	-231	33	3263	81	-231	33	3263	81	-231	33	3263	81	-231	33	3263	81	-231	33	3263	81	-231	33	3263	81	-231	33	3263	81	-231	33	3263	81	-231	33	3263	81	-231	33	3263	81	-231	33	3263	81	-231	33	3263	81	-231	33	3263	81	-231	33	3263	81	-231	33	3263	81	-231	33	3263	81	-231	33	3263	81	-231	33	3263	81	-231	33	3263	81	-231	33	3263	81	-231	33	3263
82	-18	18	3281	82	-18	18	3281	82	-18	18	3281	82	-18	18	3281	82	-18	18	3281	82	-18	18	3281	82	-18	18	3281	82	-18	18	3281	82	-18	18	3281	82	-18	18	3281	82	-18	18	3281	82	-18	18	3281	82	-18	18	3281	82	-18	18	3281	82	-18	18	3281	82	-18	18	3281	82	-18	18	3281	82	-18	18	3281	82	-18	18	3281	82	-18	18	3281	82	-18	18	3281	82	-18	18	3281
83	-231	33	3314	83	-231	33	3314	83	-231	33	3314	83	-231	33	3314	83	-231	33	3314	83	-231	33	3314	83	-231	33	3314	83	-231	33	3314	83	-231	33	3314	83	-231	33	3314	83	-231	33	3314	83	-231	33	3314	83	-231	33	3314	83	-231	33	3314	83	-231	33	3314	83	-231	33	3314	83	-231	33	3314	83	-231	33	3314	83	-231	33	3314	83	-231	33	3314	83	-231	33	3314	83	-231	33	3314
84	-120	21	3335	84	-120	21	3335	84	-120	21	3335	84	-120	21	3335	84	-120	21	3335	84	-120	21	3335	84	-120	21	3335	84	-120	21	3335	84	-120	21	3335	84	-120	21	3335	84	-120	21	3335	84	-120	21	3335	84	-120	21	3335	84	-120	21	3335	84	-120	21	3335	84	-120	21	3335	84	-120	21	3335	84	-120	21	3335	84	-120	21	3335	84	-120	21	3335	84	-120	21	3335	84	-120	21	3335
85	-13	13	3348	85	-13	13	3348	85	-13	13	3348	85	-13	13	3348	85	-13	13	3348	85	-13	13	3348	85	-13	13	3348	85	-13	13	3348	85	-13	13	3348	85	-13	13	3348	85	-13	13	3348	85	-13	13	3348	85	-13	13	3348	85	-13	13	3348	85	-13	13	3348	85	-13	13	3348	85	-13	13	3348	85	-13	13	3348	85	-13	13	3348	85	-13	13	3348	85	-13	13	3348	85	-13	13	3348
86	-13	13	3361	86	-13	13	3361	86	-13	13	3361	86	-13	13	3361	86	-13	13	3361	86	-13	13	3361	86	-13	13	3361	86	-13	13	3361	86	-13	13	3361	86	-13	13	3361	86	-13	13	3361	86	-13	13	3361	86	-13	13	3361	86	-13	13	3361	86	-13	13	3361	86	-13	13	3361	86	-13	13	3361	86	-13	13	3361	86	-13	13	3361	86	-13	13	3361	86	-13	13	3361	86	-13	13	3361
87	-122	23	3384	87	-122	23	3384	87	-122	23	3384	87	-122	23	3384	87	-122	23	3384	87	-122	23	3384	87	-122	23	3384	87	-122	23	3384	87	-122	23	3384	87	-122	23	3384	87	-122	23	3384	87	-122	23	3384	87	-122	23	3384	87	-122	23	3384	87	-122	23	3384	87	-122	23	3384	87	-122	23	3384	87	-122	23	3384	87	-122	23	3384	87	-122	23	3384	87	-122	23	3384	87	-122	23	3384
88	-15	15	3399	88	-15	15	3399	88	-15	15	3399	88	-15	15	3399	88	-15	15	3399	88	-15	15	3399	88	-15	15	3399	88	-15	15	3399	88	-15	15	3399	88	-15	15	3399	88	-15	15	3399	88	-15	15	3399	88	-15	15	3399	88	-15	15	3399	88	-15	15	3399	88	-15	15	3399	88	-15	15	3399	88	-15	15	3399	88	-15	15	3399	88	-15	15	3399	88	-15	15	3399	88	-15	15	3399
89	-15	15	3414	89	-15	15	3414	89	-15	15	3414	89	-15	15	3414	89	-15	15	3414	89	-15	15	3414	89	-15	15	3414	89	-15	15	3414	89	-15	15	3414	89	-15	15	3414	89	-15	15	3414	89	-15	15	3414	89	-15	15	3414	89	-15	15	3414	89	-15	15	3414	89	-15	15	3414	89	-15	15	3414	89	-15	15	3414	89	-15	15	3414	89	-15	15	3414	89	-15	15	3414	89	-15	15	3414
90	-17	17	3431	90	-17	17	3431	90	-17	17	3431	90	-17	17	3431	90	-17	17	3431	90	-17	17	3431	90	-17	17	3431	90	-17	17	3431	90	-17	17	3431	90	-17	17	3431	90	-17	17	3431	90	-17	17	3431	90	-17	17	3431	90	-17	17	3431	90	-17	17	3431	90	-17	17	3431	90	-17	17	3431	90	-17	17	3431	90	-17	17	3431	90	-17	17	3431	90	-17	17	3431	90	-17	17	3431
91	-14	14	3445	91	-14	14	3445	91	-14	14	3445	91	-14	14	3445	91	-14	14	3445	91	-14	14	3445	91	-14	14	3445	91	-14	14	3445	91	-14	14	3445	91	-14	14	3445	91	-14	14	3445	91	-14	14	3445	91	-14	14	3445	91	-14	14	3445	91	-14	14	3445	91	-14	14	3445	91	-14	14	3445	91	-14	14	3445	91	-14	14	3445	91	-14	14	3445	91	-14	14	3445	91	-14	14	3445
92	-13	13	3458	92	-13	13	3458	92	-13	13	3458	92	-13	13	3458	92	-13	13	3458	92	-13	13	3458	92	-13	13	3458	92	-13	13	3458	92	-13	13	3458	92	-13	13	3458	92	-13	13	3458	92	-13	13	3458	92	-13	13	3458	92	-13	13	3458	92	-13	13	3458	92	-13	13	3458	92	-13	13	3458	92	-13	13	3458	92	-13	13	3458	92	-13	13	3458	92	-13	13	3458	92	-13	13	3458
93	-19	19	3477	93	-19	19	3477	93	-19	19	3477	93	-19	19	3477	93	-19	19	3477	93	-19	19	3477	93	-19	19	3477	93	-19	19	3477	93	-19	19	3477	93	-19	19	3477	93	-19	19	3477	93	-19	19	3477	93	-19	19	3477	93	-19	19	3477	93	-19	19	3477	93	-19	19	3477	93	-19	19	3477	93	-19	19	3477	93	-19	19	3477	93	-19	19	3477	93	-19	19	3477	93	-19	19	3477
94	-13	13	3490	94	-13	13	3490	94	-13	13	3490	94	-13	13	3490	94	-13	13	3490	94	-13	13	3490	94	-13	13	3490	94	-13	13	3490	94	-13	13	3490	94	-13	13	3490	94	-13	13	3490	94	-13	13	3490	94	-13	13	3490	94	-13	13	3490	94	-13	13	3490	94	-13	13	3490	94	-13	13	3490	94	-13	13	3490	94	-13	13	3490	94	-13	13	3490	94	-13	13	3490	94	-13	13	3490
95	-13	13	3503	95	-13	13	3503	95	-13	13	3503	95	-13	13	3503	95	-13	13	3503	95	-13	13	3503	95	-13	13	3503	95	-13	13	3503	95	-13	13	3503	95	-13	13	3503	95	-13	13	3503	95	-13	13	3503	95	-13	13	3503	95	-13	13	3503	95	-13	13	3503	95	-13	13	3503	95	-13	13	3503	95	-13	13	3503	95	-13	13	3503	95	-13	13	3503	95	-13	13	3503	95	-13	13	3503
96	-17	17	3520	96	-17	17	3520	96	-17	17	3520	96	-17	17	3520	96	-17	17	3520	96	-17	17	3520	96	-17	17	3520	96	-17	17	3520	96	-17	17	3520	96	-17	17	3520	96	-17	17	3520	96	-17	17	3520	96	-17	17	3520	96	-17	17	3520	96	-17	17	3520	96	-17	17	3520	96	-17	17	3520	96	-17	17	3520	96	-17	17	3520	96	-17	17	3520	96	-17	17	3520	96	-17	17	3520
97	-113	14	3534	97	-113	14	3534	97	-113	14	3534	97	-113	14	3534	97	-113	14	3534	97	-113	14	3534	97	-113	14	3534	97	-113	14	3534	97	-113	14	3534	97	-113	14	3534	97	-113	14	3534	97	-113	14	3534	97	-113	14	3534	97	-113	14	3534	97	-113	14	3534	97	-113	14	3534	97	-113	14	3534	97	-113	14	3534	97	-113	14	3534	97	-113	14	3534	97	-113	14	3534	97	-113	14	3534
98	-17	17	3551	98	-17	17	3551	98	-17	17	3551	98	-17	17	3551	98	-17	17	3551	98	-17	17	3551	98	-17	17	3551	98	-17	17	3551	98	-17	17	3551	98	-17	17	3551	98	-17	17	3551	98	-17	17	3551	98	-17	17	3551	98	-17	17	3551	98	-17	17	3551	98	-17	17	3551	98	-17	17	3551	98	-17	17	3551	98	-17	17	3551	98	-17	17	3551	98	-17	17	3551	98	-17	17	3551
99	-123	24	3575	99	-123	24	3575	99	-123	24	3575	99	-123	24	3575	99	-123	24	3575	99	-123	24	3575	99	-123	24	3575	99	-123	24	3575	99	-123	24	3575	99	-123	24	3575	99	-123	24	3575	99	-123	24	3575	99	-123	24	3575	99	-123	24	3575	99	-123	24	3575	99	-123	24	3575	99	-123	24	3575	99	-123	24	3575	99	-123	24	3575	99	-123	24	3575	99	-123	24	3575	99	-123	24	3575
100	-14	14	3589	100	-14	14	3589	100	-14	14	3589	100	-14	14	3589	100	-14	14	3589	100	-14	14	3589	100	-14	14	3589	100	-14	14	3589	100	-14	14	3589	100	-14	14	3589	100	-14	14	3589	100	-14	14	3589	100	-14	14	3589	100	-14	14	3589	100	-14	14	3589	100	-14	14	3589	100	-14	14	3589	100	-14	14	3589	100	-14	14	3589	100	-14	14	3589	100	-14	14	3589	100	-14	14	3589
101	-13	13	3602	101	-13	13	3602	101	-13	13	3602	101	-13	13	3602	101	-13	13	3602	101	-13	13	3602	101	-13	13	3602	101	-13	13	3602	101	-13	13	3602	101	-13	13	3602	101	-13	13	3602	101	-13	13	3602	101	-13	13	3602	101	-13	13	3602	101	-13	13	3602	101	-13	13	3602	101	-13	13	3602	101	-13	13	3602	101	-13	13	3602	101	-13	13	3602	101	-13	13	3602	101	-13	13	3602
102	-13	13	3615	102	-13	13	3615	102	-13	13	3615	102	-13	13	3615	102	-13	13	3615	102	-13	13	3615	102	-13	13	3615	102	-13	13	3615	102	-13	13	3615	102	-13	13	3615	102	-13	13	3615	102	-13	13	3615	102	-13	13	3615	102	-13	13	3615	102	-13	13	3615	102	-13	13	3615	102	-13	13	3615	102	-13	13	3615	102	-13	13	3615	102	-13	13	3615	102	-13	13	3615	102	-13	13	3615
103	-13	13	3628	103	-13	13	3628	103	-13	13	3628	103	-13	13	3628	103	-13	13	3628	103	-13	13	3628	103	-13	13	3628	103	-13	13	3628	103	-13	13	3628	103	-13	13	3628	103	-13	13	3628	103	-13	13	3628	103	-13	13	3628	103	-13	13	3628	103	-13	13	3628	103	-13	13	3628	103	-13	13	3628	103	-13	13	3628	103	-13	13	3628	103	-13	13	3628	103	-13	13	3628	103	-13	13	3628
104	-13	13	3641	104	-13	13	3641	104	-13	13	3641	104	-13	13	3641	104	-13	13	3641	104	-13	13	3641	104	-13	13	3641	104	-13	13	3641	104	-13	13	3641	104	-13	13	3641	104	-13	13	3641	104	-13	13	3641	104	-13	13	3641	104	-13	13	3641	104	-13	13	3641	104	-13	13	3641	104	-13	13	3641	104	-13	13	3641	104	-13	13	3641	104	-13	13	3641	104	-13	13	3641	104	-13	13	3641
105	-13	13	3654	105	-13	13	3654	105	-13	13	3654	105	-13	13	3654	105	-13	13	3654	105	-13	13	3654	105	-13	13	3654	105	-13	13	3654	105	-13	13	3654	105	-13	13	3654	105	-13	13	3654	105	-13	13	3654	105	-13	13	3654	105	-13	13	3654	105	-13	13	3654	105	-13	13	3654	105	-13	13	3654	105	-13	13	3654	105	-13	13	3654	105	-13	13	3654	105	-13	13	3654	105	-13	13	3654
106	-17	17	3671	106	-17	17	3671	106	-17	17	3671	106	-17	17	3671	106	-17	17	3671	106	-17	17	3671	106	-17	17	3671	106	-17	17	3671	106	-17	17	3671	106	-17	17	3671	106	-17	17	3671	106	-17	17	3671	106	-17	17	3671	106	-17	17	3671	106	-17	17	3671	106	-17	17	3671	106	-17	17	3671	106	-17	17	3671	106	-17	17	3671	106	-17	17	3671	106	-17	17	3671	106	-17	17	3671
107	-113	14	3685	107	-113	14	3685	107	-113	14	3685	107	-113	14	3685	107	-113	14	3685	107	-113	14	3685	107	-113	14	3685	107	-113	14	3685	107	-113	14	3685	107	-113	14	3685	107	-113	14	3685	107	-113	14	3685	107	-113	14	3685	107	-113	14	3685	107	-113	14	3685	107	-113	14	3685	107	-113	14	3685	107	-113	14	3685	107	-113	14	3685	107	-113	14	3685	107	-113	14	3685	107	-113	14	3685
108	-219	21	3706	108	-219	21	3706	108	-219	21	3706	108	-219	21	3706	108	-219	21	3706	108	-219	21	3706	108	-219	21	3706	108	-219	21	3706	108	-219	21	3706	108	-219	21	3706	108	-219	21	3706	108	-219	21	3706	108	-219	21	3706	108	-219	21	3706	108	-219	21	3706	108	-219	21	3706	108	-219	21	3706	108	-219	21	3706	108	-219	21	3706	108	-219	21	3706	108	-219	21	3706	108	-219	21	3706
109	-13	13	3719	109	-13	13	3719	109	-13	13	3719	109	-13	13	3719	109	-13	13	3719	109	-13	13	3719	109	-13	13	3719	109	-13	13	3719	109	-13	13	3719	109	-13	13	3719	109	-13	13	3719	109	-13	13	3719	109	-13	13	3719	109	-13	13	3719	109	-13	13	3719	109	-13	13	3719	109	-13	13	3719	109	-13	13	3719	109	-13	13	3719	109	-13	13	3719	109	-13	13	3719	109	-13	13	3719
110	-435	39	3758	110	-435	39	3758	110	-435	39	3758	110	-435	39	3758	110	-435	39	3758	110	-435	39	3758	110	-435	39	3758	110	-435	39	3758	110	-435	39	3758	110	-435	39	3758	110	-435	39	3758	110	-435	39	3758	110	-435	39	3758	110	-435	39	3758	110	-435	39	3758	110	-435	39	3758	110	-435	39	3758	110	-435	39	3758	110	-435	39	3758	110	-435	39	3758	110	-435	39	3758	110	-435	39	3758
111	-15	15	3773	111	-15	15	3773	111	-15	15	3773	111	-15	15	3773	111	-15	15	3773	111	-15	15	3773	111	-15	15	3773	111	-15	15	3773	111	-15	15	3773	111	-15	15	3773	111	-15	15	3773	111	-15	15	3773	111	-15	15	3773	111	-15	15	3773	111	-15	15	3773	111	-15	15	3773	111	-15	15	3773	111	-15	15	3773	111	-15	15	3773	111	-15	15	3773	111	-15	15	3773	111	-15	15	3773
112	-20	20	3793	112	-20	20	3793	112	-20	20	3793	112	-20	20	3793	112	-20	20	3793	112	-20	20	3793	112	-20	20	3793	112	-20	20	3793	112	-20	20	3793	112	-20	20	3793	112	-20	20	3793	112	-20	20	3793	112	-20	20	3793	112	-20	20	3793	112	-20	20	3793	112	-20	20	3793	112	-20	20	3793	112	-20	20	3793	112	-20	20	3793	112	-20	20	3793	112	-20	20	3793	112	-20	20	3793
113	-15	15	3808	113	-15	15	3808	113	-15	15	3808	113	-15	15	3808	113	-15	15	3808	113	-15	15	3808	113	-15	15	3808	113	-15	15	3808	113	-15	15	3808	113	-15	15	3808	113	-15	15	3808	113	-15	15	3808	113	-15	15	3808	113	-15	15	3808	113	-15	15	3808	113	-15	15	3808	113	-15	15	3808	113	-15	15	3808	113	-15	15	3808	113	-15	15	3808	113	-15	15	3808	113	-15	15	3808
114	-231	33	3841	114	-231	33	3841	114	-231	33	3841	114	-231	33	3841	114	-231	33	3841	114	-231	33	3841	114	-231	33	3841	114	-231	33	3841	114	-231	33	3841	114	-231	33	3841	114	-231	33	3841	114	-231	33	3841	114	-231	33	3841	114	-231	33	3841	114	-231	33	3841	114	-231	33	3841	114	-231	33	3841	114	-231	33	3841	114	-231	33	3841	114	-231	33	3841	114	-231	33	3841	114	-231	33	3841
115	-118	19	3860	115	-118	19	3860	115	-118	19	3860	115	-118	19	3860	115	-118	19	3860	115	-118	19	3860	115	-118	19	3860	115	-118	19	3860	115	-118	19	3860	115	-118	19	3860	115	-118	19	3860	115	-118	19	3860	115	-118	19	3860	115	-118	19	3860	115	-118	19	3860	115	-118	19	3860	115	-118	19	3860	115	-118	19	3860	115	-118	19	3860	115	-118	19	3860	115	-118	19	3860	115	-118	19	3860
116	-13	13	3873	116	-13	13	3873	116	-13	13	3873	116	-13	13	3873	116	-13	13	3873	116	-13	13	3873	116	-13	13	3873	116	-13	13	3873	116	-13	13	3873	116	-13	13	3873	116	-13	13	3873	116	-13	13	3873	116	-13	13	3873	116	-13	13	3873	116	-13	13	3873	116	-13	13	3873	116	-13	13	3873	116	-13	13	3873	116	-13	13	3873	116	-13	13	3873	116	-13	13	3873	116	-13	13	3873
