Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
168	-15	15	2825	168	-15	15	2825	168	-15	15	2825	168	-15	15	2825	168	-15	15	2825	168	-15	15	2825	168	-15	15	2825	168	-15	15	2825
169	-13	13	2838	169	-13	13	2838	169	-13	13	2838	169	-13	13	2838	169	-13	13	2838	169	-13	13	2838	169	-13	13	2838	169	-13	13	2838
170	-17	17	2855	170	-17	17	2855	170	-17	17	2855	170	-17	17	2855	170	-17	17	2855	170	-17	17	2855	170	-17	17	2855	170	-17	17	2855
171	-13	13	2868	171	-13	13	2868	171	-13	13	2868	171	-13	13	2868	171	-13	13	2868	171	-13	13	2868	171	-13	13	2868	171	-13	13	2868
172	-15	15	2883	172	-15	15	2883	172	-15	15	2883	172	-15	15	2883	172	-15	15	2883	172	-15	15	2883	172	-15	15	2883	172	-15	15	2883
173	-13	13	2896	173	-13	13	2896	173	-13	13	2896	173	-13	13	2896	173	-13	13	2896	173	-13	13	2896	173	-13	13	2896	173	-13	13	2896
174	-13	13	2909	174	-13	13	2909	174	-13	13	2909	174	-13	13	2909	174	-13	13	2909	174	-13	13	2909	174	-13	13	2909	174	-13	13	2909
175	-13	13	2922	175	-13	13	2922	175	-13	13	2922	175	-13	13	2922	175	-13	13	2922	175	-13	13	2922	175	-13	13	2922	175	-13	13	2922
176	-16	16	2938	176	-16	16	2938	176	-16	16	2938	176	-16	16	2938	176	-16	16	2938	176	-16	16	2938	176	-16	16	2938	176	-16	16	2938
177	-13	13	2951	177	-13	13	2951	177	-13	13	2951	177	-13	13	2951	177	-13	13	2951	177	-13	13	2951	177	-13	13	2951	177	-13	13	2951
178	-222	24	2975	178	-222	24	2975	178	-222	24	2975	178	-222	24	2975	178	-222	24	2975	178	-222	24	2975	178	-222	24	2975	178	-222	24	2975
179	-17	17	2992	179	-17	17	2992	179	-17	17	2992	179	-17	17	2992	179	-17	17	2992	179	-17	17	2992	179	-17	17	2992	179	-17	17	2992
180	-13	13	3005	180	-13	13	3005	180	-13	13	3005	180	-13	13	3005	180	-13	13	3005	180	-13	13	3005	180	-13	13	3005	180	-13	13	3005
181	-15	15	3020	181	-15	15	3020	181	-15	15	3020	181	-15	15	3020	181	-15	15	3020	181	-15	15	3020	181	-15	15	3020	181	-15	15	3020
182	-19	19	3039	182	-19	19	3039	182	-19	19	3039	182	-19	19	3039	182	-19	19	3039	182	-19	19	3039	182	-19	19	3039	182	-19	19	3039
183	-120	21	3060	183	-120	21	3060	183	-120	21	3060	183	-120	21	3060	183	-120	21	3060	183	-120	21	3060	183	-120	21	3060	183	-120	21	3060
184	-125	26	3086	184	-125	26	3086	184	-125	26	3086	184	-125	26	3086	184	-125	26	3086	184	-125	26	3086	184	-125	26	3086	184	-125	26	3086
185	-15	15	3101	185	-15	15	3101	185	-15	15	3101	185	-15	15	3101	185	-15	15	3101	185	-15	15	3101	185	-15	15	3101	185	-15	15	3101
186	-19	19	3120	186	-19	19	3120	186	-19	19	3120	186	-19	19	3120	186	-19	19	3120	186	-19	19	3120	186	-19	19	3120	186	-19	19	3120
187	-120	21	3141	187	-120	21	3141	187	-120	21	3141	187	-120	21	3141	187	-120	21	3141	187	-120	21	3141	187	-120	21	3141	187	-120	21	3141
188	-13	13	3154	188	-13	13	3154	188	-13	13	3154	188	-13	13	3154	188	-13	13	3154	188	-13	13	3154	188	-13	13	3154	188	-13	13	3154
189	-116	17	3171	189	-116	17	3171	189	-116	17	3171	189	-116	17	3171	189	-116	17	3171	189	-116	17	3171	189	-116	17	3171	189	-116	17	3171
190	-15	15	3186	190	-15	15	3186	190	-15	15	3186	190	-15	15	3186	190	-15	15	3186	190	-15	15	3186	190	-15	15	3186	190	-15	15	3186
191	-15	15	3201	191	-15	15	3201	191	-15	15	3201	191	-15	15	3201	191	-15	15	3201	191	-15	15	3201	191	-15	15	3201	191	-15	15	3201
192	-15	15	3216	192	-15	15	3216	192	-15	15	3216	192	-15	15	3216	192	-15	15	3216	192	-15	15	3216	192	-15	15	3216	192	-15	15	3216
193	-15	15	3231	193	-15	15	3231	193	-15	15	3231	193	-15	15	3231	193	-15	15	3231	193	-15	15	3231	193	-15	15	3231	193	-15	15	3231
194	-13	13	3244	194	-13	13	3244	194	-13	13	3244	194	-13	13	3244	194	-13	13	3244	194	-13	13	3244	194	-13	13	3244	194	-13	13	3244
195	-19	19	3263	195	-19	19	3263	195	-19	19	3263	195	-19	19	3263	195	-19	19	3263	195	-19	19	3263	195	-19	19	3263	195	-19	19	3263
196	-13	13	3276	196	-13	13	3276	196	-13	13	3276	196	-13	13	3276	196	-13	13	3276	196	-13	13	3276	196	-13	13	3276	196	-13	13	3276
197	-16	16	3292	197	-16	16	3292	197	-16	16	3292	197	-16	16	3292	197	-16	16	3292	197	-16	16	3292	197	-16	16	3292	197	-16	16	3292
198	-232	34	3326	198	-232	34	3326	198	-232	34	3326	198	-232	34	3326	198	-232	34	3326	198	-232	34	3326	198	-232	34	3326	198	-232	34	3326
199	-117	18	3344	199	-117	18	3344	199	-117	18	3344	199	-117	18	3344	199	-117	18	3344	199	-117	18	3344	199	-117	18	3344	199	-117	18	3344
